text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings,word_percentage_yersushalmi,Page,Side,Line
"""ywM","Masekhet: 5330037, Page: 39, Side: b, Line: 01, Word: 0",No data,,,,,,,,,יום,None,No data,,23.98480797695953,39,,01
$mlK,"Masekhet: 5330037, Page: 39, Side: b, Line: 01, Word: 1",No data,,,,,,,,,שמלך,None,No data,,23.98480797695953,39,,01
yrb(M,"Masekhet: 5330037, Page: 39, Side: b, Line: 01, Word: 2",No data,,,,,,,,,ירבעם,None,No data,,23.98480797695953,39,,01
(l,"Masekhet: 5330037, Page: 39, Side: b, Line: 01, Word: 3",No data,,,,,,,,,על,None,No data,,23.98480797695953,39,,01
"y$r)l""","Masekhet: 5330037, Page: 39, Side: b, Line: 01, Word: 4",No data,,,,,,,,,ישראל,None,No data,,23.98480797695953,39,,01
)twN,"Masekhet: 5330037, Page: 39, Side: b, Line: 02, Word: 0",verb G,,,,,to come,to occur; w.,: to befall,to be fitting,אתון,)ty,verb peal,to come | to occur; w. | : to befall | to be fitting,0.7561588507303416,39,,02
kl,"Masekhet: 5330037, Page: 39, Side: b, Line: 02, Word: 1",noun sg. abs. or construct,,,,,"all, every",,,,כל,kl,noun sg. abs. or construct,"all, every",0.4348773967022754,39,,02
y$',"Masekhet: 5330037, Page: 39, Side: b, Line: 02, Word: 2",PN Personal name,,,,,,,,,יש',y$r)l,proper name Personal name,,0.03212814540280662,39,,02
lgbyh,"Masekhet: 5330037, Page: 39, Side: b, Line: 02, Word: 3",p02 C,,,,,"towards, next to",,,,לגביה,lgby,preposition with pronominal suffix (h)aphel,"towards, next to",0.14228178678385792,39,,02
bpty,"Masekhet: 5330037, Page: 39, Side: b, Line: 02, Word: 4",noun sg. abs. or construct,p02,,,,evening,"in, with",,,בפתי,b_,noun sg. abs. or construct | preposition with pronominal suffix,"evening | in, with",0.9512225906759533,39,,02
rm$),"Masekhet: 5330037, Page: 39, Side: b, Line: 02, Word: 5",noun sg. emphatic,,,,,evening,,,,רמשא,rm$,noun sg. emphatic,evening,0.03212814540280662,39,,02
)mrw,"Masekhet: 5330037, Page: 39, Side: b, Line: 02, Word: 6",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמרו,)mr,verb peal,to say | to command | to think | idiomatic and special usages:,4.212229349060825,39,,02
lyh,"Masekhet: 5330037, Page: 39, Side: b, Line: 02, Word: 7",p02 C,,,,,,,,,ליה,l_,preposition with pronominal suffix (h)aphel,,5.087721311287306,39,,02
qwM,"Masekhet: 5330037, Page: 39, Side: b, Line: 02, Word: 8",verb G,,,,,to rise,"to stand, to be raised up","to stand still, to stop",with various prepositions,קום,qwm,verb peal,"to rise | to stand, to be raised up | to stand still, to stop | with various prepositions",0.3442301293157853,39,,02
(bwd,"Masekhet: 5330037, Page: 39, Side: b, Line: 02, Word: 9",verb G,,,,,to make,"to do, perform, act in a certain manner","to designate, make into",idiomatic expressions:,עבוד,(bd,verb peal,"to make | to do, perform, act in a certain manner | to designate, make into | idiomatic expressions:",0.6838705235740267,39,,02
"""('z""","Masekhet: 5330037, Page: 39, Side: b, Line: 02, Word: 10",No data,,,,,,,,,ע'ז,None,No data,,23.98480797695953,39,,02
)m',"Masekhet: 5330037, Page: 39, Side: b, Line: 02, Word: 11",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמ',)mr,verb peal,to say | to command | to think | idiomatic and special usages:,4.212229349060825,39,,02
lwN,"Masekhet: 5330037, Page: 39, Side: b, Line: 02, Word: 12",p02 C,,,,,,,,,לון,l_,preposition with pronominal suffix (h)aphel,,5.087721311287306,39,,02
)pty,"Masekhet: 5330037, Page: 39, Side: b, Line: 03, Word: 0",noun sg. abs. or construct,,,,,evening,,,,אפתי,)pty,noun sg. abs. or construct,evening,0.0011474337643859508,39,,03
rm$),"Masekhet: 5330037, Page: 39, Side: b, Line: 03, Word: 1",noun sg. emphatic,,,,,evening,,,,רמשא,rm$,noun sg. emphatic,evening,0.03212814540280662,39,,03
hw),"Masekhet: 5330037, Page: 39, Side: b, Line: 03, Word: 2",P01 C,,,,,he,,,,הוא,hw),preposition independent (h)aphel,he,0.6001078587738523,39,,03
)$ty,"Masekhet: 5330037, Page: 39, Side: b, Line: 03, Word: 3",verb G,,,,,to drink,"to be irrigated, absorb water",to smoke tobacco,,אשתי,$ty,verb peal,"to drink | to be irrigated, absorb water | to smoke tobacco",0.04933965186859589,39,,03
wl),"Masekhet: 5330037, Page: 39, Side: b, Line: 03, Word: 4",a01 C,c,,,,"no, not","and, also",,,ולא,w_,a01 (h)aphel | conjunction,"no, not | and, also",5.046413695769412,39,,03
)$ty,"Masekhet: 5330037, Page: 39, Side: b, Line: 03, Word: 5",verb G,,,,,to drink,"to be irrigated, absorb water",to smoke tobacco,,אשתי,$ty,verb peal,"to drink | to be irrigated, absorb water | to smoke tobacco",0.04933965186859589,39,,03
kl,"Masekhet: 5330037, Page: 39, Side: b, Line: 03, Word: 6",noun sg. abs. or construct,,,,,"all, every",,,,כל,kl,noun sg. abs. or construct,"all, every",0.4348773967022754,39,,03
