text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings,word_percentage_yersushalmi,Page,Side,Line
hyK,"Masekhet: 5330033, Page: 12, Side: d, Line: 39, Word: 0",a01 C,,,,,how,,,,היך,hyk,a01 (h)aphel,how,0.09408956867964796,12,,39
tnynN,"Masekhet: 5330033, Page: 12, Side: d, Line: 39, Word: 1",verb G,,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,תנינן,tny,verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]",0.5679797133710456,12,,39
tmN,"Masekhet: 5330033, Page: 12, Side: d, Line: 39, Word: 2",X,,,,,there,,,,תמן,tmn tmn a01 C,X,there,0.33275579167192576,12,,39
"""wblbd","Masekhet: 5330033, Page: 12, Side: d, Line: 50, Word: 0",No data,,,,,,,,,ובלבד,None,No data,,23.98480797695953,12,,50
b$(h,"Masekhet: 5330033, Page: 12, Side: d, Line: 50, Word: 1",No data,,,,,,,,,בשעה,None,No data,,23.98480797695953,12,,50
$bnh,"Masekhet: 5330033, Page: 12, Side: d, Line: 50, Word: 2",No data,,,,,,,,,שבנה,None,No data,,23.98480797695953,12,,50
"(k$yw""","Masekhet: 5330033, Page: 12, Side: d, Line: 50, Word: 3",No data,,,,,,,,,עכשיו,None,No data,,23.98480797695953,12,,50
d)yN,"Masekhet: 5330033, Page: 12, Side: d, Line: 50, Word: 4",c,c,,,,if,,,,דאין,d_ d_ c,conjunction | conjunction,if,1.2495553694163004,12,,50
hwh,"Masekhet: 5330033, Page: 12, Side: d, Line: 50, Word: 5",verb G,,,,,to be,"to endure, to exist","to come to pass, to happen",in idioms:,הוה,hwy,verb peal,"to be | to endure, to exist | to come to pass, to happen | in idioms:",1.5777214260306822,12,,50
bny,"Masekhet: 5330033, Page: 12, Side: d, Line: 50, Word: 6",verb G,,,,,to build,fig. : to construct a logical argument,to edify,,בני,bny,verb peal,to build | fig. : to construct a logical argument | to edify,0.019506373994561163,12,,50
dkypyN,"Masekhet: 5330033, Page: 12, Side: d, Line: 50, Word: 7",p,noun pl. absolute,,,,"rock, stone",,,,דכיפין,kyp,preposition | noun pl. absolute,"rock, stone",0.017211506465789263,12,,50
bny,"Masekhet: 5330033, Page: 12, Side: d, Line: 50, Word: 8",verb G,,,,,to build,fig. : to construct a logical argument,to edify,,בני,bny,verb peal,to build | fig. : to construct a logical argument | to edify,0.019506373994561163,12,,50
lh,"Masekhet: 5330033, Page: 12, Side: d, Line: 50, Word: 9",p02 C,,,,,,,,,לה,l_,preposition with pronominal suffix (h)aphel,,5.087721311287306,12,,50
dkypyN,"Masekhet: 5330033, Page: 12, Side: d, Line: 50, Word: 10",p,noun pl. absolute,,,,"rock, stone",,,,דכיפין,kyp,preposition | noun pl. absolute,"rock, stone",0.017211506465789263,12,,50
brM,"Masekhet: 5330033, Page: 12, Side: d, Line: 50, Word: 11",c,,,,,"but, however",,,,ברם,brm,conjunction,"but, however",0.06769859209877109,12,,50
hk),"Masekhet: 5330033, Page: 12, Side: d, Line: 50, Word: 12",a01 C,,,,,here,,,,הכא,hkh,a01 (h)aphel,here,0.23981365675666372,12,,50
hwh,"Masekhet: 5330033, Page: 12, Side: d, Line: 50, Word: 13",verb G,,,,,to be,"to endure, to exist","to come to pass, to happen",in idioms:,הוה,hwy,verb peal,"to be | to endure, to exist | to come to pass, to happen | in idioms:",1.5777214260306822,12,,50
bny,"Masekhet: 5330033, Page: 12, Side: d, Line: 51, Word: 0",verb G,,,,,to build,fig. : to construct a logical argument,to edify,,בני,bny,verb peal,to build | fig. : to construct a logical argument | to edify,0.019506373994561163,12,,51
dkypyN,"Masekhet: 5330033, Page: 12, Side: d, Line: 51, Word: 1",p,noun pl. absolute,,,,"rock, stone",,,,דכיפין,kyp,preposition | noun pl. absolute,"rock, stone",0.017211506465789263,12,,51
wbntyh,"Masekhet: 5330033, Page: 12, Side: d, Line: 51, Word: 2",verb G,c,,,,to build,fig. : to construct a logical argument,to edify,,ובנתיה,w_,verb peal | conjunction,to build | fig. : to construct a logical argument | to edify,5.046413695769412,12,,51
blybnyN,"Masekhet: 5330033, Page: 12, Side: d, Line: 51, Word: 3",p02,N,,,,"in, with",brick,,,בליבנין,lybnh lybnh noun pl. absolute,preposition with pronominal suffix | noun,"in, with | brick",0.0011474337643859508,12,,51
gby,"Masekhet: 5330033, Page: 12, Side: d, Line: 51, Word: 4",p01 C,,,,,"at the side of, together with",,,,גבי,gb,preposition independent (h)aphel,"at the side of, together with",0.22489701781964636,12,,51
lyh,"Masekhet: 5330033, Page: 12, Side: d, Line: 51, Word: 5",p02 C,,,,,,,,,ליה,l_,preposition with pronominal suffix (h)aphel,,5.087721311287306,12,,51
kypyN,"Masekhet: 5330033, Page: 12, Side: d, Line: 51, Word: 6",noun pl. absolute,,,,,"rock, stone",,,,כיפין,kyp,noun pl. absolute,"rock, stone",0.017211506465789263,12,,51
wkl,"Masekhet: 5330033, Page: 12, Side: d, Line: 51, Word: 7",noun sg. abs. or construct,c,,,,"all, every","and, also",,,וכל,w_,noun sg. abs. or construct | conjunction,"all, every | and, also",5.046413695769412,12,,51
$(h,"Masekhet: 5330033, Page: 12, Side: d, Line: 51, Word: 8",noun sg. abs. or construct,,,,,moment of time; hour,,,,שעה,$(h,noun sg. abs. or construct,moment of time; hour,0.034423012931578525,12,,51
dnpyl,"Masekhet: 5330033, Page: 12, Side: d, Line: 51, Word: 9",c,verb G,,,,to fall,"to befall, occur",:,:,דנפיל,npl,conjunction | verb peal,"to fall | to befall, occur | : | :",0.03557044669596448,12,,51
bny,"Masekhet: 5330033, Page: 12, Side: d, Line: 51, Word: 10",verb G,,,,,to build,fig. : to construct a logical argument,to edify,,בני,bny,verb peal,to build | fig. : to construct a logical argument | to edify,0.019506373994561163,12,,51
lh,"Masekhet: 5330033, Page: 12, Side: d, Line: 51, Word: 11",p02 C,,,,,,,,,לה,l_,preposition with pronominal suffix (h)aphel,,5.087721311287306,12,,51
kyny,"Masekhet: 5330033, Page: 12, Side: d, Line: 56, Word: 0",a01 C,,,,,"thus, so",,,,כיני,kn,a01 (h)aphel,"thus, so",0.489954217392801,12,,56
)wrx),"Masekhet: 5330033, Page: 12, Side: d, Line: 56, Word: 1",noun sg. emphatic,,,,,"way, road",,,,אורחא,)wrx,noun sg. emphatic,"way, road",0.02983327787403472,12,,56
dm)N,"Masekhet: 5330033, Page: 12, Side: d, Line: 56, Word: 2",c,P01,,,,who?,,,,דמאן,mn,conjunction | preposition independent,who?,1.6362405480143658,12,,56
dmtprns,"Masekhet: 5330033, Page: 12, Side: d, Line: 56, Word: 3",c,verb quad T,,,,"to supply, to support, to provide",to administer,,,דמתפרנס,prns,conjunction | verb quad T,"to supply, to support, to provide | to administer",0.0011474337643859508,12,,56
