text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings,word_percentage_yersushalmi,Page,Side,Line
)ymmh,"Masekhet: 5330001, Page: 02, Side: a, Line: 30, Word: 0",noun sg. emphatic,,,,,daytime,,,,איממה,)ymm,noun sg. emphatic,daytime,0.009179470115087606,02,,30
hw),"Masekhet: 5330001, Page: 02, Side: a, Line: 30, Word: 1",P01 C,,,,,he,,,,הוא,hw),preposition independent (h)aphel,he,0.6001078587738523,02,,30
{w(M}/w(d#01#/,"Masekhet: 5330001, Page: 02, Side: a, Line: 30, Word: 2",p02 C,c,,,,until,"and, also",,,ועד/,w_,preposition with pronominal suffix (h)aphel | conjunction,"until | and, also",5.046413695769412,02,,30
kwkby),"Masekhet: 5330001, Page: 02, Side: a, Line: 30, Word: 3",noun pl. emphatic,,,,,star,,,,כוכביא,kwkb,noun pl. emphatic,star,0.009179470115087606,02,,30
hw),"Masekhet: 5330001, Page: 02, Side: a, Line: 30, Word: 4",P01 C,,,,,he,,,,הוא,hw),preposition independent (h)aphel,he,0.6001078587738523,02,,30
$(h,"Masekhet: 5330001, Page: 02, Side: a, Line: 31, Word: 0",noun sg. abs. or construct,,,,,moment of time; hour,,,,שעה,$(h,noun sg. abs. or construct,moment of time; hour,0.034423012931578525,02,,31
wtrty,"Masekhet: 5330001, Page: 02, Side: a, Line: 31, Word: 1",b,c,,,,two,"and, also",,,ותרתי,w_,b | conjunction,"two | and, also",5.046413695769412,02,,31
lyly),"Masekhet: 5330001, Page: 02, Side: a, Line: 31, Word: 2",noun sg. emphatic,,,,,night,,,,ליליא,lyly,noun sg. emphatic,night,0.02868584410964877,02,,31
hw),"Masekhet: 5330001, Page: 02, Side: a, Line: 31, Word: 3",P01 C,,,,,he,,,,הוא,hw),preposition independent (h)aphel,he,0.6001078587738523,02,,31
)m',"Masekhet: 5330001, Page: 02, Side: a, Line: 32, Word: 0",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמ',)mr,verb peal,to say | to command | to think | idiomatic and special usages:,4.212229349060825,02,,32
r',"Masekhet: 5330001, Page: 02, Side: a, Line: 32, Word: 1",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher,4.462369909696963,02,,32
ywsy,"Masekhet: 5330001, Page: 02, Side: a, Line: 32, Word: 2",PN Personal name,,,,,,,,,יוסי,ywsy,proper name Personal name,,0.37406340718981995,02,,32
"""typtr""","Masekhet: 5330001, Page: 02, Side: a, Line: 32, Word: 3",No data,,,,,,,,,תיפתר,None,No data,,23.98480797695953,02,,32
b)ylyN,"Masekhet: 5330001, Page: 02, Side: a, Line: 32, Word: 4",R,p02,,,,these (m. and f.),"in, with",,,באילין,b_,R | preposition with pronominal suffix,"these (m. and f.) | in, with",0.9512225906759533,02,,32
kwprny),"Masekhet: 5330001, Page: 02, Side: a, Line: 32, Word: 5",noun pl. emphatic,,,,,village; tomb,,,,כופרניא,kpr,noun pl. emphatic,village; tomb,0.008032036350701655,02,,32
dqyqyy),"Masekhet: 5330001, Page: 02, Side: a, Line: 32, Word: 6",A05,,,,,crushed; fine,,,,דקיקייא,dqyq,adjective plural determined,crushed; fine,0.021801241523333067,02,,32
d)wrxyhwN,"Masekhet: 5330001, Page: 02, Side: a, Line: 32, Word: 7",noun sg. emphatic,p,,,,"way, road",,,,דאורחיהון,d_ d_ p,noun sg. emphatic | preposition,"way, road",0.49454395245034477,02,,32
mstlq),"Masekhet: 5330001, Page: 02, Side: a, Line: 32, Word: 8",verb Dt,,,,,to rise into the sky,"to go away, to withdraw, to depart",,,מסתלקא,slq,verb ethpaal,"to rise into the sky | to go away, to withdraw, to depart",0.2409610905210497,02,,32
(d,"Masekhet: 5330001, Page: 02, Side: a, Line: 33, Word: 0",c,,,,,until,,,,עד,(d,conjunction,until,0.16752532960034883,02,,33
dhw),"Masekhet: 5330001, Page: 02, Side: a, Line: 33, Word: 1",c,P01 C,,,,he,,,,דהוא,hw),conjunction | preposition independent (h)aphel,he,0.6001078587738523,02,,33
)ymm),"Masekhet: 5330001, Page: 02, Side: a, Line: 33, Word: 2",noun sg. emphatic,,,,,daytime,,,,איממא,)ymm,noun sg. emphatic,daytime,0.009179470115087606,02,,33
dcdy,"Masekhet: 5330001, Page: 02, Side: a, Line: 33, Word: 3",verb G,c,,,,+,: to be afraid of something,,,דצדי,d_ d_ c,verb peal | conjunction,+ | : to be afraid of something,1.2495553694163004,02,,33
lwN,"Masekhet: 5330001, Page: 02, Side: a, Line: 33, Word: 4",p02,,,,,,,,,לון,l_,preposition with pronominal suffix,,5.087721311287306,02,,33
mqmy,"Masekhet: 5330001, Page: 02, Side: a, Line: 33, Word: 5",p01 C,,,,,before,,,,מקמי,mn@qwmy,preposition independent (h)aphel,before,0.021801241523333067,02,,33
xywt),"Masekhet: 5330001, Page: 02, Side: a, Line: 33, Word: 6",N,,,,,animal,,,,חיותא,xywwh xywwh noun sg. emphatic,noun,animal,0.0011474337643859508,02,,33
ny$m(ynh,"Masekhet: 5330001, Page: 02, Side: b, Line: 02, Word: 0",verb G,,,,,to hear (w. d.o. or,) something,to listen,,נישמעינה,$m(,verb peal,to hear (w. d.o. or | ) something | to listen,0.4142235889433282,02,,02
mN,"Masekhet: 5330001, Page: 02, Side: b, Line: 02, Word: 1",p01,,,,,from,,,,מן,mn,preposition independent,from,1.6362405480143658,02,,02
hd),"Masekhet: 5330001, Page: 02, Side: b, Line: 02, Word: 2",P01,,,,,this (f.),,,,הדא,hd),preposition independent,this (f.),0.6471526431136763,02,,02
qdmy),"Masekhet: 5330001, Page: 02, Side: b, Line: 09, Word: 0",A02 C,,,,,first,,,,קדמיא,qdmy,adjective singular determined (h)aphel,first,0.10441647255912154,02,,09
l),"Masekhet: 5330001, Page: 02, Side: b, Line: 09, Word: 1",a01 C,,,,,"no, not",,,,לא,l),a01 (h)aphel,"no, not",1.3195488290438433,02,,09
mtx$b,"Masekhet: 5330001, Page: 02, Side: b, Line: 09, Word: 2",verb Gt,,,,,to be counted,"to be considered, reckoned to be",,,מתחשב,x$b,verb ethpeel,"to be counted | to be considered, reckoned to be",0.030980711638420675,02,,09
r',"Masekhet: 5330001, Page: 02, Side: b, Line: 12, Word: 0",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher,4.462369909696963,02,,12
ywsy,"Masekhet: 5330001, Page: 02, Side: b, Line: 12, Word: 1",PN Personal name,,,,,,,,,יוסי,ywsy,proper name Personal name,,0.37406340718981995,02,,12
byr',"Masekhet: 5330001, Page: 02, Side: b, Line: 12, Word: 2",noun sg. abs. or construct,,,,,important person,,,,ביר',byrby,noun sg. abs. or construct,important person,0.14572408807701576,02,,12
bwN,"Masekhet: 5330001, Page: 02, Side: b, Line: 12, Word: 3",PN Personal name,,,,,,,,,בון,bwN,proper name Personal name,,0.0631088570412273,02,,12
b(y,"Masekhet: 5330001, Page: 02, Side: b, Line: 12, Word: 4",verb G,,,,,"to seek, look for",to ask a question,"to wish for something, want, request",to require,בעי,b(y,verb peal,"to seek, look for | to ask a question | to wish for something, want, request | to require",0.4991336875078886,02,,12
hd),"Masekhet: 5330001, Page: 02, Side: b, Line: 20, Word: 0",P01,,,,,this (f.),,,,הדא,hd),preposition independent,this (f.),0.6471526431136763,02,,20
dtymr,"Masekhet: 5330001, Page: 02, Side: b, Line: 20, Word: 1",verb G,c,,,,to say,to command,to think,idiomatic and special usages:,דתימר,d_ d_ c,verb peal | conjunction,to say | to command | to think | idiomatic and special usages:,1.2495553694163004,02,,20
