text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings,word_percentage_yersushalmi,Page,Side,Line
typtr,"Masekhet: 5330019, Page: 60, Side: a, Line: 25, Word: 0",verb Gt,,,,,to be explained,,,,תיפתר,ptr,verb ethpeel,to be explained,0.14228178678385792,60,,25
b)ylyN,"Masekhet: 5330019, Page: 60, Side: a, Line: 25, Word: 1",R,p02,,,,these (m. and f.),"in, with",,,באילין,b_,R | preposition with pronominal suffix,"these (m. and f.) | in, with",0.9512225906759533,60,,25
dnpqyN,"Masekhet: 5330019, Page: 60, Side: a, Line: 25, Word: 2",c,verb G,,,,"to go out, come out, leave","to turn into, end up differently from how it started","to be spent, i.e. used up, consumed",": similar to, appropriate for",דנפקין,npq,conjunction | verb peal,"to go out, come out, leave | to turn into, end up differently from how it started | to be spent, i.e. used up, consumed | : similar to, appropriate for",0.33275579167192576,60,,25
wknpyhwN,"Masekhet: 5330019, Page: 60, Side: a, Line: 25, Word: 3",noun pl. emphatic,c,,,,wing,"and, also",,,וכנפיהון,w_,noun pl. emphatic | conjunction,"wing | and, also",5.046413695769412,60,,25
(lyhwN,"Masekhet: 5330019, Page: 60, Side: a, Line: 25, Word: 4",p02 C,,,,,upon; against; to,,,,עליהון,(l,preposition with pronominal suffix (h)aphel,upon; against; to,0.9638443620841988,60,,25
l$M{^wN,"Masekhet: 5330019, Page: 60, Side: a, Line: 39, Word: 0",p01,,,,,for the sake of,,,,לשם{ון,l$m,preposition independent,for the sake of,0.0011474337643859508,60,,39
mtnyt),"Masekhet: 5330019, Page: 60, Side: a, Line: 40, Word: 0",noun sg. emphatic,,,,,tannaitic tradition,,,,מתניתא,mtny,noun sg. emphatic,tannaitic tradition,0.3614416357815745,60,,40
msyy(h,"Masekhet: 5330019, Page: 60, Side: a, Line: 40, Word: 1",V,,,,,,,,,מסייעה,syy( syy( verb D,V,,0.11703824396736698,60,,40
lr',"Masekhet: 5330019, Page: 60, Side: a, Line: 40, Word: 2",p03,N,,,,chief; teacher,,,,לר',rby#2 rby#2 noun sg. abs. or construct,preposition proclitic | noun,chief; teacher,4.462369909696963,60,,40
xyy),"Masekhet: 5330019, Page: 60, Side: a, Line: 40, Word: 3",PN Personal name,,,,,,,,,חייא,xyy),proper name Personal name,,0.05966655574806944,60,,40
br,"Masekhet: 5330019, Page: 60, Side: a, Line: 40, Word: 4",noun sg. abs. or construct,,,,,son,,,,בר,br,noun sg. abs. or construct,son,0.7733703571961309,60,,40
b),"Masekhet: 5330019, Page: 60, Side: a, Line: 40, Word: 5",PN Personal name,,,,,,,,,בא,b),proper name Personal name,,0.16752532960034883,60,,40
w)pylw,"Masekhet: 5330019, Page: 60, Side: a, Line: 42, Word: 0",c,c,,,,"even if , even","and, also",,,ואפילו,w_,conjunction | conjunction,"even if , even | and, also",5.046413695769412,60,,42
dysbrwN,"Masekhet: 5330019, Page: 60, Side: a, Line: 42, Word: 1",c,verb G,,,,to have thoughts,idioms:,,,דיסברון,sbr,conjunction | verb peal,to have thoughts | idioms:,0.2971853449759613,60,,42
byt,"Masekhet: 5330019, Page: 60, Side: a, Line: 42, Word: 2",noun sg. abs. or construct,,,,,house; structure; place,,,,בית,by,noun sg. abs. or construct,house; structure; place,0.022948675287719017,60,,42
