text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings,word_percentage_yersushalmi,Page,Side,Line
"""n$b(","Masekhet: 5330032, Page: 07, Side: d, Line: 31, Word: 0",No data,,,,,,,,,נשבע,None,No data,,23.98480797695953,07,,31
"wnwTl""","Masekhet: 5330032, Page: 07, Side: d, Line: 31, Word: 1",No data,,,,,,,,,ונוטל,None,No data,,23.98480797695953,07,,31
)wP,"Masekhet: 5330032, Page: 07, Side: d, Line: 31, Word: 2",c,,,,,"also, even",,,,אוף,)wp )wp c,conjunction,"also, even",0.09408956867964796,07,,31
hd),"Masekhet: 5330032, Page: 07, Side: d, Line: 31, Word: 3",P01 C,,,,,this (f.),,,,הדא,hd),preposition independent (h)aphel,this (f.),0.6471526431136763,07,,31
dmyy),"Masekhet: 5330032, Page: 07, Side: d, Line: 31, Word: 4",verb G,,,,,to be like,ptcp. :,,,דמייא,dmy,verb peal,to be like | ptcp. :,0.07458319468508681,07,,31
lh,"Masekhet: 5330032, Page: 07, Side: d, Line: 31, Word: 5",p02 C,,,,,,,,,לה,l_,preposition with pronominal suffix (h)aphel,,5.087721311287306,07,,31
rbh,"Masekhet: 5330032, Page: 07, Side: d, Line: 31, Word: 6",PN Personal name,,,,,,,,,רבה,rbh,proper name Personal name,,0.004589735057543803,07,,31
br,"Masekhet: 5330032, Page: 07, Side: d, Line: 31, Word: 7",noun sg. abs. or construct,,,,,son,,,,בר,br,noun sg. abs. or construct,son,0.7733703571961309,07,,31
mml,"Masekhet: 5330032, Page: 07, Side: d, Line: 31, Word: 8",PN Personal name,,,,,,,,,ממל,mml,proper name Personal name,,0.019506373994561163,07,,31
wrb,"Masekhet: 5330032, Page: 07, Side: d, Line: 31, Word: 9",noun sg. abs. or construct,c,,,,chief; teacher,"and, also",,,ורב,w_,noun sg. abs. or construct | conjunction,"chief; teacher | and, also",5.046413695769412,07,,31
