text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings,word_percentage_yersushalmi,Page,Side,Line
)nN,"Masekhet: 5330031, Page: 02, Side: a, Line: 25, Word: 0",P02 C,,,,,we,,,,אנן,)nn,preposition with pronominal suffix (h)aphel,we,0.15719842572087525,02,,25
tnynN,"Masekhet: 5330031, Page: 02, Side: a, Line: 25, Word: 1",verb G,,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,תנינן,tny,verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]",0.5679797133710456,02,,25
""")rb(h","Masekhet: 5330031, Page: 02, Side: a, Line: 25, Word: 2",No data,,,,,,,,,ארבעה,None,No data,,23.98480797695953,02,,25
)bwt,"Masekhet: 5330031, Page: 02, Side: a, Line: 25, Word: 3",No data,,,,,,,,,אבות,None,No data,,23.98480797695953,02,,25
"nzyqyN""","Masekhet: 5330031, Page: 02, Side: a, Line: 25, Word: 4",No data,,,,,,,,,נזיקין,None,No data,,23.98480797695953,02,,25
wtny,"Masekhet: 5330031, Page: 02, Side: a, Line: 26, Word: 0",verb G,c,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,ותני,w_,verb peal | conjunction,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]",5.046413695769412,02,,26
"""r'","Masekhet: 5330031, Page: 02, Side: a, Line: 26, Word: 1",No data,,,,,,,,,ר',None,No data,,23.98480797695953,02,,26
xyyh,"Masekhet: 5330031, Page: 02, Side: a, Line: 26, Word: 2",No data,,,,,,,,,חייה,None,No data,,23.98480797695953,02,,26
$l$',"Masekhet: 5330031, Page: 02, Side: a, Line: 26, Word: 3",No data,,,,,,,,,שלש',None,No data,,23.98480797695953,02,,26
"($r""","Masekhet: 5330031, Page: 02, Side: a, Line: 26, Word: 4",No data,,,,,,,,,עשר,None,No data,,23.98480797695953,02,,26
r',"Masekhet: 5330031, Page: 02, Side: a, Line: 28, Word: 0",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher,4.462369909696963,02,,28
xgyy,"Masekhet: 5330031, Page: 02, Side: a, Line: 28, Word: 1",PN Personal name,,,,,,,,,חגיי,xgyy,proper name Personal name,,0.04016018175350828,02,,28
$)l,"Masekhet: 5330031, Page: 02, Side: a, Line: 28, Word: 2",verb G,,,,,to ask,to ask for something,,,שאל,$)l,verb peal,to ask | to ask for something,0.2604674645156108,02,,28
hyK,"Masekhet: 5330031, Page: 02, Side: a, Line: 28, Word: 3",a01 C,,,,,how,,,,היך,hyk,a01 (h)aphel,how,0.09408956867964796,02,,28
tnynN,"Masekhet: 5330031, Page: 02, Side: a, Line: 28, Word: 4",verb G,,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,תנינן,tny,verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]",0.5679797133710456,02,,28
""")rb(h","Masekhet: 5330031, Page: 02, Side: a, Line: 28, Word: 5",No data,,,,,,,,,ארבעה,None,No data,,23.98480797695953,02,,28
)bwt,"Masekhet: 5330031, Page: 02, Side: a, Line: 28, Word: 6",No data,,,,,,,,,אבות,None,No data,,23.98480797695953,02,,28
nzyqyN,"Masekhet: 5330031, Page: 02, Side: a, Line: 28, Word: 7",No data,,,,,,,,,נזיקין,None,No data,,23.98480797695953,02,,28
)M,"Masekhet: 5330031, Page: 02, Side: a, Line: 28, Word: 8",No data,,,,,,,,,אם,None,No data,,23.98480797695953,02,,28
"hkl""","Masekhet: 5330031, Page: 02, Side: a, Line: 28, Word: 9",No data,,,,,,,,,הכל,None,No data,,23.98480797695953,02,,28
""")mwr","Masekhet: 5330031, Page: 02, Side: a, Line: 29, Word: 0",No data,,,,,,,,,אמור,None,No data,,23.98480797695953,02,,29
