text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings,word_percentage_yersushalmi,Page,Side,Line
tnynN,"Masekhet: 5330028, Page: 43, Side: a, Line: 51, Word: 0",verb G,,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,תנינן,tny,verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]",0.5679797133710456,43,,51
dbtrh,"Masekhet: 5330028, Page: 43, Side: a, Line: 51, Word: 1",p02 C,c,,,,after,,,,דבתרה,d_ d_ c,preposition with pronominal suffix (h)aphel | conjunction,after,1.2495553694163004,43,,51
mh,"Masekhet: 5330028, Page: 43, Side: a, Line: 55, Word: 0",P01 C,,,,,what?,,,,מה,mh,preposition independent (h)aphel,what?,0.6574795469931498,43,,55
)t,"Masekhet: 5330028, Page: 43, Side: a, Line: 55, Word: 1",R,,,,,you (m.),,,,את,)t )t P01 C,R,you (m.),0.34881986437332907,43,,55
(bd,"Masekhet: 5330028, Page: 43, Side: a, Line: 55, Word: 2",verb G,,,,,to make,"to do, perform, act in a certain manner","to designate, make into",idiomatic expressions:,עבד,(bd,verb peal,"to make | to do, perform, act in a certain manner | to designate, make into | idiomatic expressions:",0.6838705235740267,43,,55
lh,"Masekhet: 5330028, Page: 43, Side: a, Line: 55, Word: 3",p02 C,,,,,,,,,לה,l_,preposition with pronominal suffix (h)aphel,,5.087721311287306,43,,55
"""bgT","Masekhet: 5330028, Page: 43, Side: a, Line: 55, Word: 4",No data,,,,,,,,,בגט,None,No data,,23.98480797695953,43,,55
hw),"Masekhet: 5330028, Page: 43, Side: a, Line: 55, Word: 5",No data,,,,,,,,,הוא,None,No data,,23.98480797695953,43,,55
w(rrw,"Masekhet: 5330028, Page: 43, Side: a, Line: 55, Word: 6",No data,,,,,,,,,ועררו,None,No data,,23.98480797695953,43,,55
bTl,"Masekhet: 5330028, Page: 43, Side: a, Line: 55, Word: 7",No data,,,,,,,,,בטל,None,No data,,23.98480797695953,43,,55
)w,"Masekhet: 5330028, Page: 43, Side: a, Line: 55, Word: 8",No data,,,,,,,,,או,None,No data,,23.98480797695953,43,,55
"bmtnh""","Masekhet: 5330028, Page: 43, Side: a, Line: 55, Word: 9",No data,,,,,,,,,במתנה,None,No data,,23.98480797695953,43,,55
"""hw)","Masekhet: 5330028, Page: 43, Side: a, Line: 56, Word: 0",No data,,,,,,,,,הוא,None,No data,,23.98480797695953,43,,56
w(rrw,"Masekhet: 5330028, Page: 43, Side: a, Line: 56, Word: 1",No data,,,,,,,,,ועררו,None,No data,,23.98480797695953,43,,56
"qyyM""","Masekhet: 5330028, Page: 43, Side: a, Line: 56, Word: 2",No data,,,,,,,,,קיים,None,No data,,23.98480797695953,43,,56
wyyb),"Masekhet: 5330028, Page: 43, Side: a, Line: 56, Word: 3",c,V,,,,"and, also",it (f.) is,,,וייבא,yybh yybh I01,conjunction | V,"and, also | it (f.) is",0.0022948675287719016,43,,56
khd),"Masekhet: 5330028, Page: 43, Side: a, Line: 56, Word: 4",P01,p02,,,,this (f.),like,,,כהדא,k_,preposition independent | preposition with pronominal suffix,this (f.) | like,0.41881332400087207,43,,56
r',"Masekhet: 5330028, Page: 43, Side: a, Line: 59, Word: 0",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher,4.462369909696963,43,,59
mn),"Masekhet: 5330028, Page: 43, Side: a, Line: 59, Word: 1",PN Personal name,,,,,,,,,מנא,mn),proper name Personal name,,0.15490355819210336,43,,59
l),"Masekhet: 5330028, Page: 43, Side: a, Line: 59, Word: 2",a01,,,,,"no, not",,,,לא,l),a01,"no, not",1.3195488290438433,43,,59
mpr$,"Masekhet: 5330028, Page: 43, Side: a, Line: 59, Word: 3",verb D,,,,,to separate,"to distinguish, make distinct","to specify clearly, state","to explain, interpret",מפרש,pr$,verb pael,"to separate | to distinguish, make distinct | to specify clearly, state | to explain, interpret",0.02868584410964877,43,,59
r',"Masekhet: 5330028, Page: 43, Side: a, Line: 59, Word: 4",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher,4.462369909696963,43,,59
)byN,"Masekhet: 5330028, Page: 43, Side: a, Line: 59, Word: 5",PN Personal name,,,,,,,,,אבין,)byN,proper name Personal name,,0.01491663893701736,43,,59
mpr$,"Masekhet: 5330028, Page: 43, Side: a, Line: 59, Word: 6",verb D,,,,,to separate,"to distinguish, make distinct","to specify clearly, state","to explain, interpret",מפרש,pr$,verb pael,"to separate | to distinguish, make distinct | to specify clearly, state | to explain, interpret",0.02868584410964877,43,,59
nymr,"Masekhet: 5330028, Page: 43, Side: b, Line: 11, Word: 0",verb G,,,,,to say,to command,to think,idiomatic and special usages:,נימר,)mr,verb peal,to say | to command | to think | idiomatic and special usages:,4.212229349060825,43,,11
mh,"Masekhet: 5330028, Page: 43, Side: b, Line: 11, Word: 1",c,,,,,what,,,,מה,mh,conjunction,what,0.6574795469931498,43,,11
d$)yl,"Masekhet: 5330028, Page: 43, Side: b, Line: 11, Word: 2",verb G,c,,,,to ask,to ask for something,,,דשאיל,d_ d_ c,verb peal | conjunction,to ask | to ask for something,1.2495553694163004,43,,11
