text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings,word_percentage_yersushalmi,Page,Side,Line
hd),"Masekhet: 5330022, Page: 75, Side: d, Line: 57, Word: 0",P01,,,,,this (f.),,,,הדא,hd),preposition independent,this (f.),0.6471526431136763,75,,57
)mrh,"Masekhet: 5330022, Page: 75, Side: d, Line: 57, Word: 1",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמרה,)mr,verb peal,to say | to command | to think | idiomatic and special usages:,4.212229349060825,75,,57
dlyt,"Masekhet: 5330022, Page: 75, Side: d, Line: 57, Word: 2",c,verb G,,,,,,,,דלית,lyt,conjunction | verb peal,,0.5083131576229762,75,,57
kllwy,"Masekhet: 5330022, Page: 75, Side: d, Line: 58, Word: 0",noun pl. emphatic,,,,,general rule,,,,כללוי,kll,noun pl. emphatic,general rule,0.024096109052104967,75,,58
dr',"Masekhet: 5330022, Page: 75, Side: d, Line: 58, Word: 1",p,N,,,,chief; teacher,,,,דר',rby#2 rby#2 noun sg. abs. or construct,preposition | noun,chief; teacher,4.462369909696963,75,,58
kllyN,"Masekhet: 5330022, Page: 75, Side: d, Line: 58, Word: 2",noun pl. absolute,,,,,general rule,,,,כללין,kll,noun pl. absolute,general rule,0.024096109052104967,75,,58
wd),"Masekhet: 5330022, Page: 75, Side: d, Line: 62, Word: 0",R,c,,,,this (f.),"and, also",,,ודא,w_,R | conjunction,"this (f.) | and, also",5.046413695769412,75,,62
msyy(h,"Masekhet: 5330022, Page: 75, Side: d, Line: 62, Word: 1",V,,,,,,,,,מסייעה,syy( syy( verb D,V,,0.11703824396736698,75,,62
lr',"Masekhet: 5330022, Page: 75, Side: d, Line: 62, Word: 2",p03,N,,,,chief; teacher,,,,לר',rby#2 rby#2 noun sg. abs. or construct,preposition proclitic | noun,chief; teacher,4.462369909696963,75,,62
ywnh,"Masekhet: 5330022, Page: 75, Side: d, Line: 62, Word: 3",PN Personal name,,,,,,,,,יונה,ywnh,proper name Personal name,,0.11818567773175294,75,,62
dr',"Masekhet: 5330022, Page: 75, Side: d, Line: 62, Word: 4",c,N,,,,chief; teacher,,,,דר',rby#2 rby#2 noun sg. abs. or construct,conjunction | noun,chief; teacher,4.462369909696963,75,,62
ywnh,"Masekhet: 5330022, Page: 75, Side: d, Line: 62, Word: 5",PN Personal name,,,,,,,,,יונה,ywnh,proper name Personal name,,0.11818567773175294,75,,62
)m',"Masekhet: 5330022, Page: 75, Side: d, Line: 62, Word: 6",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמ',)mr,verb peal,to say | to command | to think | idiomatic and special usages:,4.212229349060825,75,,62
hd),"Masekhet: 5330022, Page: 75, Side: d, Line: 62, Word: 7",P01,,,,,this (f.),,,,הדא,hd),preposition independent,this (f.),0.6471526431136763,75,,62
)mrh,"Masekhet: 5330022, Page: 75, Side: d, Line: 62, Word: 8",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמרה,)mr,verb peal,to say | to command | to think | idiomatic and special usages:,4.212229349060825,75,,62
lyt,"Masekhet: 5330022, Page: 75, Side: d, Line: 62, Word: 9",verb G,,,,,,,,,לית,lyt,verb peal,,0.5083131576229762,75,,62
kllwy,"Masekhet: 5330022, Page: 75, Side: d, Line: 62, Word: 10",noun pl. emphatic,,,,,general rule,,,,כללוי,kll,noun pl. emphatic,general rule,0.024096109052104967,75,,62
dr',"Masekhet: 5330022, Page: 75, Side: d, Line: 62, Word: 11",p,N,,,,chief; teacher,,,,דר',rby#2 rby#2 noun sg. abs. or construct,preposition | noun,chief; teacher,4.462369909696963,75,,62
kllyN,"Masekhet: 5330022, Page: 75, Side: d, Line: 62, Word: 12",noun pl. absolute,,,,,general rule,,,,כללין,kll,noun pl. absolute,general rule,0.024096109052104967,75,,62
)yt),"Masekhet: 5330022, Page: 76, Side: a, Line: 10, Word: 0",verb G,,,,,to come,to occur; w.,: to befall,to be fitting,איתא,)ty,verb peal,to come | to occur; w. | : to befall | to be fitting,0.7561588507303416,76,,10
xmy,"Masekhet: 5330022, Page: 76, Side: a, Line: 10, Word: 1",verb G,,,,,to see,w. infinitive: to see fit to do something,w.,": to look at, study carefully",חמי,xmy,verb peal,"to see | w. infinitive: to see fit to do something | w. | : to look at, study carefully",0.395864648713153,76,,10
ycyb),"Masekhet: 5330022, Page: 76, Side: a, Line: 10, Word: 2",noun sg. emphatic,,,,,citizen,,,,יציבא,ycyb,noun sg. emphatic,citizen,0.0011474337643859508,76,,10
{{b$myy)}}{^b)r()^},"Masekhet: 5330022, Page: 76, Side: a, Line: 11, Word: 0",N,p02,,,,heaven; ceiling,"in, with",,,בשמייא,b_,noun | preposition with pronominal suffix,"heaven; ceiling | in, with",0.9512225906759533,76,,11
wgywr),"Masekhet: 5330022, Page: 76, Side: a, Line: 11, Word: 1",A02 C,c,,,,"foreign, alien","and, also",,,וגיורא,w_,adjective singular determined (h)aphel | conjunction,"foreign, alien | and, also",5.046413695769412,76,,11
b$my,"Masekhet: 5330022, Page: 76, Side: a, Line: 11, Word: 2",N,p02,,,,heaven; ceiling,"in, with",,,בשמי,b_,noun | preposition with pronominal suffix,"heaven; ceiling | in, with",0.9512225906759533,76,,11
$myy),"Masekhet: 5330022, Page: 76, Side: a, Line: 11, Word: 3",N,,,,,heaven; ceiling,,,,שמייא,$myyn $myyn noun pl. emphatic,noun,heaven; ceiling,0.01262177140824546,76,,11
hwy,"Masekhet: 5330022, Page: 76, Side: a, Line: 14, Word: 0",verb G,,,,,to be,"to endure, to exist","to come to pass, to happen",in idioms:,הוי,hwy,verb peal,"to be | to endure, to exist | to come to pass, to happen | in idioms:",1.5777214260306822,76,,14
cwrkh,"Masekhet: 5330022, Page: 76, Side: a, Line: 14, Word: 1",N,,,,,need,,,,צורכה,cwrk cwrk noun sg. emphatic,noun,need,0.06196142327684135,76,,14
lhhy),"Masekhet: 5330022, Page: 76, Side: a, Line: 14, Word: 2",P01 C,p03,,,,that one (f.),,,,לההיא,l_,preposition independent (h)aphel | preposition proclitic,that one (f.),5.087721311287306,76,,14
d)m',"Masekhet: 5330022, Page: 76, Side: a, Line: 14, Word: 3",verb G,c,,,,to say,to command,to think,idiomatic and special usages:,דאמ',d_ d_ c,verb peal | conjunction,to say | to command | to think | idiomatic and special usages:,1.2495553694163004,76,,14
r',"Masekhet: 5330022, Page: 76, Side: a, Line: 14, Word: 4",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher,4.462369909696963,76,,14
ywsh,"Masekhet: 5330022, Page: 76, Side: a, Line: 14, Word: 5",PN Personal name,,,,,,,,,יוסה,ywsh,proper name Personal name,,0.09294213491526201,76,,14
