text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings,word_percentage_yersushalmi,Page,Side,Line
r',"Masekhet: 5330038, Page: 45, Side: c, Line: 55, Word: 0",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher,4.462369909696963,45,,55
xgyy,"Masekhet: 5330038, Page: 45, Side: c, Line: 55, Word: 1",PN Personal name,,,,,,,,,חגיי,xgyy,proper name Personal name,,0.04016018175350828,45,,55
$)l,"Masekhet: 5330038, Page: 45, Side: c, Line: 55, Word: 2",verb G,,,,,to ask,to ask for something,,,שאל,$)l,verb peal,to ask | to ask for something,0.2604674645156108,45,,55
lxbryyh,"Masekhet: 5330038, Page: 45, Side: c, Line: 55, Word: 3",p03,noun pl. emphatic,,,,comrade,,,,לחברייה,xbr,preposition proclitic | noun pl. emphatic,comrade,0.20424321006069926,45,,55
)wP,"Masekhet: 5330038, Page: 45, Side: c, Line: 58, Word: 0",c,,,,,"also, even",,,,אוף,)wp )wp c,conjunction,"also, even",0.09408956867964796,45,,58
)n),"Masekhet: 5330038, Page: 45, Side: c, Line: 58, Word: 1",P01 C,,,,,I,,,,אנא,)nh,preposition independent (h)aphel,I,0.30406994756227695,45,,58
crykh,"Masekhet: 5330038, Page: 45, Side: c, Line: 58, Word: 2",A01 C,,,,,poor; needy,,,,צריכה,cryk,adjective singular absolute or construct (h)aphel,poor; needy,0.1824419685373662,45,,58
ly,"Masekhet: 5330038, Page: 45, Side: c, Line: 58, Word: 3",p02 C,,,,,,,,,לי,l_,preposition with pronominal suffix (h)aphel,,5.087721311287306,45,,58
)n),"Masekhet: 5330038, Page: 45, Side: c, Line: 61, Word: 0",P01 C,,,,,I,,,,אנא,)nh,preposition independent (h)aphel,I,0.30406994756227695,45,,61
cryk),"Masekhet: 5330038, Page: 45, Side: c, Line: 61, Word: 1",A01 C,,,,,poor; needy,,,,צריכא,cryk,adjective singular absolute or construct (h)aphel,poor; needy,0.1824419685373662,45,,61
ly,"Masekhet: 5330038, Page: 45, Side: c, Line: 61, Word: 2",p02 C,,,,,,,,,לי,l_,preposition with pronominal suffix (h)aphel,,5.087721311287306,45,,61
)m',"Masekhet: 5330038, Page: 45, Side: c, Line: 63, Word: 0",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמ',)mr,verb peal,to say | to command | to think | idiomatic and special usages:,4.212229349060825,45,,63
lwN,"Masekhet: 5330038, Page: 45, Side: c, Line: 63, Word: 1",p02 C,,,,,,,,,לון,l_,preposition with pronominal suffix (h)aphel,,5.087721311287306,45,,63
{nym),"Masekhet: 5330038, Page: 45, Side: c, Line: 63, Word: 2",No data,,,,,,,,,{נימא,None,No data,,23.98480797695953,45,,63
lkwN,"Masekhet: 5330038, Page: 45, Side: c, Line: 63, Word: 3",No data,,,,,,,,,לכון,None,No data,,23.98480797695953,45,,63
mynN}<nmr,"Masekhet: 5330038, Page: 45, Side: c, Line: 63, Word: 4",verb G,,,,,to say,to command,to think,idiomatic and special usages:,מינן}נמר,)mr,verb peal,to say | to command | to think | idiomatic and special usages:,4.212229349060825,45,,63
lkwN,"Masekhet: 5330038, Page: 45, Side: c, Line: 63, Word: 5",p02 C,,,,,,,,,לכון,l_,preposition with pronominal suffix (h)aphel,,5.087721311287306,45,,63
)n{N}<)>#09#>,"Masekhet: 5330038, Page: 45, Side: c, Line: 63, Word: 6",P01 C,,,,,I,,,,אנא,)nh,preposition independent (h)aphel,I,0.30406994756227695,45,,63
""")w","Masekhet: 5330038, Page: 45, Side: c, Line: 63, Word: 7",No data,,,,,,,,,או,None,No data,,23.98480797695953,45,,63
hwd(,"Masekhet: 5330038, Page: 45, Side: c, Line: 63, Word: 8",No data,,,,,,,,,הודע,None,No data,,23.98480797695953,45,,63
)lyw,"Masekhet: 5330038, Page: 45, Side: c, Line: 63, Word: 9",No data,,,,,,,,,אליו,None,No data,,23.98480797695953,45,,63
xT)tw,"Masekhet: 5330038, Page: 45, Side: c, Line: 63, Word: 10",No data,,,,,,,,,חטאתו,None,No data,,23.98480797695953,45,,63
"whby)""","Masekhet: 5330038, Page: 45, Side: c, Line: 63, Word: 11",No data,,,,,,,,,והביא,None,No data,,23.98480797695953,45,,63
()l,"Masekhet: 5330038, Page: 45, Side: c, Line: 63, Word: 12",verb G,,,,,to enter,w.,:  to have sexual relations with,"+ in years, days : to be advanced in age",עאל,(ll,verb peal,"to enter | w. | :  to have sexual relations with | + in years, days : to be advanced in age",0.22489701781964636,45,,63
r',"Masekhet: 5330038, Page: 45, Side: c, Line: 63, Word: 13",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher,4.462369909696963,45,,63
ywsy,"Masekhet: 5330038, Page: 45, Side: c, Line: 63, Word: 14",PN Personal name,,,,,,,,,יוסי,ywsy,proper name Personal name,,0.37406340718981995,45,,63
)mryN,"Masekhet: 5330038, Page: 45, Side: c, Line: 63, Word: 15",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמרין,)mr,verb peal,to say | to command | to think | idiomatic and special usages:,4.212229349060825,45,,63
lyh,"Masekhet: 5330038, Page: 45, Side: c, Line: 63, Word: 16",p02 C,,,,,,,,,ליה,l_,preposition with pronominal suffix (h)aphel,,5.087721311287306,45,,63
q$y,"Masekhet: 5330038, Page: 45, Side: c, Line: 63, Word: 17",verb D,,,,,to harden,to treat hard,to do with great difficulty,to make heavy,קשי,q$y,verb pael,to harden | to treat hard | to do with great difficulty | to make heavy,0.11130107514543723,45,,63
lN,"Masekhet: 5330038, Page: 45, Side: c, Line: 64, Word: 0",p02 C,,,,,,,,,לן,l_,preposition with pronominal suffix (h)aphel,,5.087721311287306,45,,64
