text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings,word_percentage_yersushalmi,Page,Side,Line
hd),"Masekhet: 5330026, Page: 24, Side: d, Line: 34, Word: 0",P01 C,,,,,this (f.),,,,הדא,hd),preposition independent (h)aphel,this (f.),0.6471526431136763,24,,34
)mrh,"Masekhet: 5330026, Page: 24, Side: d, Line: 34, Word: 1",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמרה,)mr,verb peal,to say | to command | to think | idiomatic and special usages:,4.212229349060825,24,,34
)ylyN,"Masekhet: 5330026, Page: 24, Side: d, Line: 34, Word: 2",R,,,,,these (m. and f.),,,,אילין,)ylyyn )ylyyn P01 C,R,these (m. and f.),0.2593200307512249,24,,34
dknsyN,"Masekhet: 5330026, Page: 24, Side: d, Line: 34, Word: 3",c,verb G,,,,"to gather, collect",to take a wife,,,דכנסין,kns,conjunction | verb peal,"to gather, collect | to take a wife",0.009179470115087606,24,,34
)rmlN,"Masekhet: 5330026, Page: 24, Side: d, Line: 34, Word: 4",noun pl. absolute,,,,,widow,,,,ארמלן,)rmlh,noun pl. absolute,widow,0.010326903879473558,24,,34
"""cryK","Masekhet: 5330026, Page: 24, Side: d, Line: 34, Word: 5",No data,,,,,,,,,צריך,None,No data,,23.98480797695953,24,,34
lkwnsh,"Masekhet: 5330026, Page: 24, Side: d, Line: 34, Word: 6",No data,,,,,,,,,לכונסה,None,No data,,23.98480797695953,24,,34
"mb(wd""","Masekhet: 5330026, Page: 24, Side: d, Line: 34, Word: 7",No data,,,,,,,,,מבעוד,None,No data,,23.98480797695953,24,,34
"""ywM","Masekhet: 5330026, Page: 24, Side: d, Line: 35, Word: 0",No data,,,,,,,,,יום,None,No data,,23.98480797695953,24,,35
$l),"Masekhet: 5330026, Page: 24, Side: d, Line: 35, Word: 1",No data,,,,,,,,,שלא,None,No data,,23.98480797695953,24,,35
yh),"Masekhet: 5330026, Page: 24, Side: d, Line: 35, Word: 2",No data,,,,,,,,,יהא,None,No data,,23.98480797695953,24,,35
kqwnh,"Masekhet: 5330026, Page: 24, Side: d, Line: 35, Word: 3",No data,,,,,,,,,כקונה,None,No data,,23.98480797695953,24,,35
qnyyN,"Masekhet: 5330026, Page: 24, Side: d, Line: 35, Word: 4",No data,,,,,,,,,קניין,None,No data,,23.98480797695953,24,,35
b$bt,"Masekhet: 5330026, Page: 24, Side: d, Line: 35, Word: 5",No data,,,,,,,,,בשבת,None,No data,,23.98480797695953,24,,35
r',"Masekhet: 5330026, Page: 24, Side: d, Line: 35, Word: 6",No data,,,,,,,,,ר',None,No data,,23.98480797695953,24,,35
"l(zr""","Masekhet: 5330026, Page: 24, Side: d, Line: 35, Word: 7",No data,,,,,,,,,לעזר,None,No data,,23.98480797695953,24,,35
myyty,"Masekhet: 5330026, Page: 24, Side: d, Line: 35, Word: 8",verb G,,,,,to come,to occur; w.,: to befall,to be fitting,מייתי,)ty,verb peal,to come | to occur; w. | : to befall | to be fitting,0.7561588507303416,24,,35
lh,"Masekhet: 5330026, Page: 24, Side: d, Line: 35, Word: 9",p02 C,,,,,,,,,לה,l_,preposition with pronominal suffix (h)aphel,,5.087721311287306,24,,35
T(M,"Masekhet: 5330026, Page: 24, Side: d, Line: 35, Word: 10",verb G,,,,,to taste,"to eat, dine",,,טעם,T(m,verb peal,"to taste | to eat, dine",0.11589081020298103,24,,35
dmtny',"Masekhet: 5330026, Page: 24, Side: d, Line: 35, Word: 11",p,noun sg. emphatic,,,,tannaitic tradition,,,,דמתני',mtny,preposition | noun sg. emphatic,tannaitic tradition,0.3614416357815745,24,,35
