text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings,word_percentage_yersushalmi,Page,Side,Line
()l,"Masekhet: 5330035, Page: 31, Side: a, Line: 40, Word: 0",verb G,,,,,to enter,w.,:  to have sexual relations with,"+ in years, days : to be advanced in age",עאל,(ll,verb peal,"to enter | w. | :  to have sexual relations with | + in years, days : to be advanced in age",0.22489701781964636,31,,40
r',"Masekhet: 5330035, Page: 31, Side: a, Line: 40, Word: 1",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher,4.462369909696963,31,,40
yhwdh,"Masekhet: 5330035, Page: 31, Side: a, Line: 40, Word: 2",PN Personal name,,,,,,,,,יהודה,yhwdh,proper name Personal name,,0.0722883271563149,31,,40
wmr,"Masekhet: 5330035, Page: 31, Side: a, Line: 40, Word: 3",verb G,c,,,,to say,to command,to think,idiomatic and special usages:,ומר,w_,verb peal | conjunction,to say | to command | to think | idiomatic and special usages:,5.046413695769412,31,,40
T(',"Masekhet: 5330035, Page: 31, Side: a, Line: 40, Word: 4",noun sg. emphatic,,,,,taste; order,,,,טע',T(m,noun sg. emphatic,taste; order,0.11589081020298103,31,,40
"""qrbh","Masekhet: 5330035, Page: 31, Side: a, Line: 40, Word: 5",No data,,,,,,,,,קרבה,None,No data,,23.98480797695953,31,,40
$nt,"Masekhet: 5330035, Page: 31, Side: a, Line: 40, Word: 6",No data,,,,,,,,,שנת,None,No data,,23.98480797695953,31,,40
h$b(,"Masekhet: 5330035, Page: 31, Side: a, Line: 40, Word: 7",No data,,,,,,,,,השבע,None,No data,,23.98480797695953,31,,40
$nt,"Masekhet: 5330035, Page: 31, Side: a, Line: 40, Word: 8",No data,,,,,,,,,שנת,None,No data,,23.98480797695953,31,,40
"h$myTh""","Masekhet: 5330035, Page: 31, Side: a, Line: 40, Word: 9",No data,,,,,,,,,השמיטה,None,No data,,23.98480797695953,31,,40
whyky,"Masekhet: 5330035, Page: 31, Side: b, Line: 02, Word: 0",a01 C,c,,,,how,"and, also",,,והיכי,w_,a01 (h)aphel | conjunction,"how | and, also",5.046413695769412,31,,02
"""){m'}<M>","Masekhet: 5330035, Page: 31, Side: b, Line: 02, Word: 1",No data,,,,,,,,,אם,None,No data,,23.98480797695953,31,,02
bm(ydyN,"Masekhet: 5330035, Page: 31, Side: b, Line: 02, Word: 2",No data,,,,,,,,,במעידין,None,No data,,23.98480797695953,31,,02
(lyw,"Masekhet: 5330035, Page: 31, Side: b, Line: 02, Word: 3",No data,,,,,,,,,עליו,None,No data,,23.98480797695953,31,,02
bkrK,"Masekhet: 5330035, Page: 31, Side: b, Line: 02, Word: 4",No data,,,,,,,,,בכרך,None,No data,,23.98480797695953,31,,02
")xd""","Masekhet: 5330035, Page: 31, Side: b, Line: 02, Word: 5",No data,,,,,,,,,אחד,None,No data,,23.98480797695953,31,,02
lyt,"Masekhet: 5330035, Page: 31, Side: b, Line: 02, Word: 6",verb G,,,,,,,,,לית,lyt,verb peal,,0.5083131576229762,31,,02
$m(,"Masekhet: 5330035, Page: 31, Side: b, Line: 02, Word: 7",verb G,,,,,to hear (w. d.o. or,) something,to listen,,שמע,$m(,verb peal,to hear (w. d.o. or | ) something | to listen,0.4142235889433282,31,,02
mynh,"Masekhet: 5330035, Page: 31, Side: b, Line: 02, Word: 8",p02 C,,,,,from,,,,מינה,mn,preposition with pronominal suffix (h)aphel,from,1.6362405480143658,31,,02
klwM,"Masekhet: 5330035, Page: 31, Side: b, Line: 02, Word: 9",P01,,,,,something,,,,כלום,klwm,preposition independent,something,0.14916638937017362,31,,02
xmy,"Masekhet: 5330035, Page: 31, Side: b, Line: 11, Word: 0",verb G,,,,,to see,w. infinitive: to see fit to do something,w.,": to look at, study carefully",חמי,xmy,verb peal,"to see | w. infinitive: to see fit to do something | w. | : to look at, study carefully",0.395864648713153,31,,11
hyK,"Masekhet: 5330035, Page: 31, Side: b, Line: 11, Word: 1",a01 C,,,,,how,,,,היך,hyk,a01 (h)aphel,how,0.09408956867964796,31,,11
tnynN,"Masekhet: 5330035, Page: 31, Side: b, Line: 11, Word: 2",verb G,,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,תנינן,tny,verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]",0.5679797133710456,31,,11
hk),"Masekhet: 5330035, Page: 31, Side: b, Line: 11, Word: 3",a01 C,,,,,here,,,,הכא,hkh,a01 (h)aphel,here,0.23981365675666372,31,,11
"""(dyM","Masekhet: 5330035, Page: 31, Side: b, Line: 19, Word: 0",No data,,,,,,,,,עדים,None,No data,,23.98480797695953,31,,19
zwmmyN,"Masekhet: 5330035, Page: 31, Side: b, Line: 19, Word: 1",No data,,,,,,,,,זוממין,None,No data,,23.98480797695953,31,,19
)ynN,"Masekhet: 5330035, Page: 31, Side: b, Line: 19, Word: 2",No data,,,,,,,,,אינן,None,No data,,23.98480797695953,31,,19
crykyN,"Masekhet: 5330035, Page: 31, Side: b, Line: 19, Word: 3",No data,,,,,,,,,צריכין,None,No data,,23.98480797695953,31,,19
lqbl,"Masekhet: 5330035, Page: 31, Side: b, Line: 19, Word: 4",No data,,,,,,,,,לקבל,None,No data,,23.98480797695953,31,,19
htryyh,"Masekhet: 5330035, Page: 31, Side: b, Line: 19, Word: 5",No data,,,,,,,,,התרייה,None,No data,,23.98480797695953,31,,19
)m',"Masekhet: 5330035, Page: 31, Side: b, Line: 19, Word: 6",No data,,,,,,,,,אמ',None,No data,,23.98480797695953,31,,19
r',"Masekhet: 5330035, Page: 31, Side: b, Line: 19, Word: 7",No data,,,,,,,,,ר',None,No data,,23.98480797695953,31,,19
")bhw""","Masekhet: 5330035, Page: 31, Side: b, Line: 19, Word: 8",No data,,,,,,,,,אבהו,None,No data,,23.98480797695953,31,,19
l),"Masekhet: 5330035, Page: 31, Side: b, Line: 19, Word: 9",a01 C,,,,,"no, not",,,,לא,l),a01 (h)aphel,"no, not",1.3195488290438433,31,,19
x$${w}<y>N{^xyy$wN^},"Masekhet: 5330035, Page: 31, Side: b, Line: 19, Word: 10",verb G,,,,,"to sense, to feel","to suffer, be ill",to care about,,חששין,x$$,verb peal,"to sense, to feel | to suffer, be ill | to care about",0.07458319468508681,31,,19
lwN,"Masekhet: 5330035, Page: 31, Side: b, Line: 19, Word: 11",p02 C,,,,,,,,,לון,l_,preposition with pronominal suffix (h)aphel,,5.087721311287306,31,,19
)m',"Masekhet: 5330035, Page: 31, Side: b, Line: 20, Word: 0",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמ',)mr,verb peal,to say | to command | to think | idiomatic and special usages:,4.212229349060825,31,,20
