text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
"""bzkh","Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",No data,,,,,,,,,בזכה,None,No data,
db(y,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",verb G,c,,,,"to seek, look for",to ask a question,"to wish for something, want, request",to require,דבעי,d_,verb peal | conjunction,"to seek, look for | to ask a question | to wish for something, want, request | to require"
ly$n),"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",N,,,,,tongue,,,,לישנא,ly$n,noun,tongue
ywnh,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",PN Personal name,,,,,,,,,יונה,ywnh,proper name Personal name,
)yt,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",verb G,,,,,,,,,אית,)yt,verb peal,
my$m(ynh,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",verb G,,,,,to hear (w. d.o. or,) something,to listen,,מישמעינה,$m(,verb peal,to hear (w. d.o. or | ) something | to listen
mN,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",p01,,,,,from,,,,מן,mn,preposition independent,from
hd),"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",P01,,,,,this (f.),,,,הדא,hd),preposition independent,this (f.)
r',"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",N,,,,,chief; teacher,,,,ר',rby#2,noun,chief; teacher
plgwN,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",verb G,,,,,to divide (trans.),to be in the middle,"to be distinctive, outstanding","to be halved, become divided",פלגון,plg,verb peal,"to divide (trans.) | to be in the middle | to be distinctive, outstanding | to be halved, become divided"
"lbbynw""","Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",No data,,,,,,,,,לבבינו,None,No data,
mpyq,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",verb C,,,,,"to bring forth, produce","to remove, expel",to expend,to produce a text,מפיק,npq,verb (h)aphel,"to bring forth, produce | to remove, expel | to expend | to produce a text"
""")t","Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",No data,,,,,,,,,את,None,No data,
"hmsw""","Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",No data,,,,,,,,,המסו,None,No data,
lh,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",p01,,,,,,,,,לה,l_,preposition independent,
""")xynw","Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",No data,,,,,,,,,אחינו,None,No data,
hy),"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",P01C,,,,,she,,,,היא,hy),P01C,she
mtnyt),"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",noun sg. emphatic,,,,,tannaitic tradition,,,,מתניתא,mtny,noun sg. emphatic,tannaitic tradition
wl)w,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",a01C,c,,,,"not, it is not","and, also",,,ולאו,w_,a01C | conjunction,"not, it is not | and, also"
)mr,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמר,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
)t,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",R,,,,,you (m.),,,,את,)t,R,you (m.)
mrgnyt),"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",noun sg. emphatic,,,,,pearl,,,,מרגניתא,mrgly,noun sg. emphatic,pearl
m{)}N#01#,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",p01,,,,,from,,,,מן,mn,preposition independent,from
xsp),"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",noun sg. emphatic,,,,,baked clay,,,,חספא,xsp,noun sg. emphatic,baked clay
mN,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",c,,,,,"since, after; while",,,,מן,mn,conjunction,"since, after; while"
dglyyt,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",c,verb D,,,,"to reveal (secrets, revelations)",to uncover,to exile,"to go into exile, emigrate",דגליית,gly,conjunction | verb pael,"to reveal (secrets, revelations) | to uncover | to exile | to go into exile, emigrate"
lK,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",p01,,,,,,,,,לך,l_,preposition independent,
bblyy),"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",A02,,,,,Babylonian,,,,בבלייא,bbly,adjective singular determined,Babylonian
lyh,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",p01,,,,,,,,,ליה,l_,preposition independent,
)m',"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמ',)mr,verb peal,to say | to command | to think | idiomatic and special usages:
hy),"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",P01C,,,,,she,,,,היא,hy),P01C,she
mtnyt),"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",noun sg. emphatic,,,,,tannaitic tradition,,,,מתניתא,mtny,noun sg. emphatic,tannaitic tradition
br,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",noun sg. abs. or construct,,,,,son,,,,בר,br,noun sg. abs. or construct,son
wl),"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",a01C,c,,,,"no, not","and, also",,,ולא,w_,a01C | conjunction,"no, not | and, also"
