text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings,word_percentage_yersushalmi,Page,Side,Line
lyt,"Masekhet: 5330021, Page: 69, Side: d, Line: 63, Word: 0",verb G,,,,,,,,,לית,lyt,verb peal,,0.5083131576229762,69,,63
ykyl,"Masekhet: 5330021, Page: 69, Side: d, Line: 63, Word: 1",verb G,,,,,to be able (capability),to overpower,(in prohibitive clauses) : to be empowered,,יכיל,ykl,verb peal,to be able (capability) | to overpower | (in prohibitive clauses) : to be empowered,0.1308074491399984,69,,63
wlmh,"Masekhet: 5330021, Page: 70, Side: a, Line: 16, Word: 0",c,c,,,,why?,"and, also",,,ולמה,w_,conjunction | conjunction,"why? | and, also",5.046413695769412,70,,16
lynN,"Masekhet: 5330021, Page: 70, Side: a, Line: 16, Word: 1",verb G,,,,,,,,,לינן,lyt,verb peal,,0.5083131576229762,70,,16
)mryN,"Masekhet: 5330021, Page: 70, Side: a, Line: 16, Word: 2",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמרין,)mr,verb peal,to say | to command | to think | idiomatic and special usages:,4.212229349060825,70,,16
h),"Masekhet: 5330021, Page: 70, Side: a, Line: 27, Word: 0",I01 C,,,,,here! look!,,,,הא,h),I01 (h)aphel,here! look!,0.13539718419754218,70,,27
tlt),"Masekhet: 5330021, Page: 70, Side: a, Line: 27, Word: 1",n01 C,,,,,three,,,,תלתא,tlt,numeral singular absolute or construct (h)aphel,three,0.10556390632350747,70,,27
tnyyN,"Masekhet: 5330021, Page: 70, Side: a, Line: 27, Word: 2",N,,,,,tanna,,,,תניין,tnyy#2 tnyy#2 noun pl. absolute,noun,tanna,0.017211506465789263,70,,27
tnyy),"Masekhet: 5330021, Page: 70, Side: a, Line: 27, Word: 3",N,,,,,tanna,,,,תנייא,tnyy#2 tnyy#2 noun sg. emphatic,noun,tanna,0.08032036350701656,70,,27
qdmyy),"Masekhet: 5330021, Page: 70, Side: a, Line: 27, Word: 4",A02 C,,,,,first,,,,קדמייא,qdmy,adjective singular determined (h)aphel,first,0.10441647255912154,70,,27
sbr,"Masekhet: 5330021, Page: 70, Side: a, Line: 27, Word: 5",verb G,,,,,to have thoughts,idioms:,,,סבר,sbr,verb peal,to have thoughts | idioms:,0.2971853449759613,70,,27
mymr,"Masekhet: 5330021, Page: 70, Side: a, Line: 28, Word: 0",verb G,,,,,to say,to command,to think,idiomatic and special usages:,מימר,)mr,verb peal,to say | to command | to think | idiomatic and special usages:,4.212229349060825,70,,28
"""mymwt","Masekhet: 5330021, Page: 70, Side: a, Line: 28, Word: 1",No data,,,,,,,,,מימות,None,No data,,23.98480797695953,70,,28
yhw$(,"Masekhet: 5330021, Page: 70, Side: a, Line: 28, Word: 2",No data,,,,,,,,,יהושע,None,No data,,23.98480797695953,70,,28
bN,"Masekhet: 5330021, Page: 70, Side: a, Line: 28, Word: 3",No data,,,,,,,,,בן,None,No data,,23.98480797695953,70,,28
"nwN""","Masekhet: 5330021, Page: 70, Side: a, Line: 28, Word: 4",No data,,,,,,,,,נון,None,No data,,23.98480797695953,70,,28
tnyy),"Masekhet: 5330021, Page: 70, Side: a, Line: 28, Word: 5",N,,,,,tanna,,,,תנייא,tnyy#2 tnyy#2 noun sg. emphatic,noun,tanna,0.08032036350701656,70,,28
)xryy),"Masekhet: 5330021, Page: 70, Side: a, Line: 28, Word: 6",A02,,,,,"final, last",,,,אחרייא,)xry,adjective singular determined,"final, last",0.01491663893701736,70,,28
sbr,"Masekhet: 5330021, Page: 70, Side: a, Line: 28, Word: 7",verb G,,,,,to have thoughts,idioms:,,,סבר,sbr,verb peal,to have thoughts | idioms:,0.2971853449759613,70,,28
