text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings,word_percentage_yersushalmi,Page,Side,Line
gr$,"Masekhet: 5330029, Page: 51, Side: a, Line: 41, Word: 0",noun sg. abs. or construct,,,,,continuation,,,,גרש,gr$,noun sg. abs. or construct,continuation,0.01262177140824546,51,,41
r)$h,"Masekhet: 5330029, Page: 51, Side: a, Line: 41, Word: 1",N,,,,,head; top; chief,,,,ראשה,r)$ r)$ noun sg. emphatic,noun,head; top; chief,0.05737168821929754,51,,41
"d""ndryM""","Masekhet: 5330029, Page: 51, Side: a, Line: 41, Word: 2",No data,,,,,,,,,דנדרים,None,No data,,23.98480797695953,51,,41
qdmyt),"Masekhet: 5330029, Page: 51, Side: a, Line: 41, Word: 3",A02 C,,,,,first,,,,קדמיתא,qdmy,adjective singular determined (h)aphel,first,0.10441647255912154,51,,41
(d dmTy,"Masekhet: 5330029, Page: 51, Side: a, Line: 41, Word: 4",p01 C,,,,,as far as,,,,עד דמטי,(d@mTy,preposition independent (h)aphel,as far as,0.003442301293157852,51,,41
)$kx,"Masekhet: 5330029, Page: 51, Side: a, Line: 41, Word: 5",verb G,,,,,to find,"w. infinitive : to be able to, capable of",impersonal,"‏ : it may well be, it is possible",אשכח,$kx,verb peal,"to find | w. infinitive : to be able to, capable of | impersonal | ‏ : it may well be, it is possible",0.1732624984222786,51,,41
tny,"Masekhet: 5330029, Page: 51, Side: a, Line: 41, Word: 6",verb G,,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,תני,tny,verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]",0.5679797133710456,51,,41
rby,"Masekhet: 5330029, Page: 51, Side: a, Line: 41, Word: 7",N,,,,,chief; teacher,,,,רבי,rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher,4.462369909696963,51,,41
y$m()l,"Masekhet: 5330029, Page: 51, Side: a, Line: 41, Word: 8",PN Personal name,,,,,,,,,ישמעאל,y$m()l,proper name Personal name,,0.043602483046666134,51,,41
hd),"Masekhet: 5330029, Page: 51, Side: a, Line: 53, Word: 0",P01 C,,,,,this (f.),,,,הדא,hd),preposition independent (h)aphel,this (f.),0.6471526431136763,51,,53
hy),"Masekhet: 5330029, Page: 51, Side: a, Line: 53, Word: 1",P01 C,,,,,she,,,,היא,hy),preposition independent (h)aphel,she,0.36717880460350427,51,,53
qdmyyt),"Masekhet: 5330029, Page: 51, Side: a, Line: 53, Word: 2",A02 C,,,,,first,,,,קדמייתא,qdmy,adjective singular determined (h)aphel,first,0.10441647255912154,51,,53
"""whtny","Masekhet: 5330029, Page: 51, Side: a, Line: 58, Word: 0",No data,,,,,,,,,והתני,None,No data,,23.98480797695953,51,,58
br qpr),"Masekhet: 5330029, Page: 51, Side: a, Line: 58, Word: 1",PN Personal name,,,,,,,,,בר קפרא,!,proper name Personal name,,0.14916638937017362,51,,58
"xrs""","Masekhet: 5330029, Page: 51, Side: a, Line: 58, Word: 2",No data,,,,,,,,,חרס,None,No data,,23.98480797695953,51,,58
l),"Masekhet: 5330029, Page: 51, Side: a, Line: 58, Word: 3",a01 C,,,,,"no, not",,,,לא,l),a01 (h)aphel,"no, not",1.3195488290438433,51,,58
xsp),"Masekhet: 5330029, Page: 51, Side: a, Line: 58, Word: 4",noun sg. emphatic,,,,,baked clay,,,,חספא,xsp,noun sg. emphatic,baked clay,0.006884602586315704,51,,58
"""l$wN","Masekhet: 5330029, Page: 51, Side: a, Line: 60, Word: 0",No data,,,,,,,,,לשון,None,No data,,23.98480797695953,51,,60
nywwty,"Masekhet: 5330029, Page: 51, Side: a, Line: 60, Word: 1",No data,,,,,,,,,ניוותי,None,No data,,23.98480797695953,51,,60
"hw)""","Masekhet: 5330029, Page: 51, Side: a, Line: 60, Word: 2",No data,,,,,,,,,הוא,None,No data,,23.98480797695953,51,,60
d)ynwN,"Masekhet: 5330029, Page: 51, Side: a, Line: 60, Word: 3",c,R,,,,they,,,,דאינון,hynwn hynwn P01 C,conjunction | R,they,0.28341613980332986,51,,60
qryy,"Masekhet: 5330029, Page: 51, Side: a, Line: 60, Word: 4",noun pl. absolute,,,,,biblical verse,,,,קריי,qrh,noun pl. absolute,biblical verse,0.09638443620841987,51,,60
lxsp),"Masekhet: 5330029, Page: 51, Side: a, Line: 60, Word: 5",p03,noun sg. emphatic,,,,baked clay,,,,לחספא,xsp,preposition proclitic | noun sg. emphatic,baked clay,0.006884602586315704,51,,60
ksp),"Masekhet: 5330029, Page: 51, Side: a, Line: 60, Word: 6",noun sg. emphatic,,,,,sherd (dial.),,,,כספא,ksp#2,noun sg. emphatic,sherd (dial.),0.0022948675287719016,51,,60
hyy {d}<l>N,"Masekhet: 5330029, Page: 51, Side: a, Line: 63, Word: 0",R,,,,,which ones,,,,היי לן,hyylyn hyylyn P01 C,R,which ones,0.003442301293157852,51,,63
)ynwN,"Masekhet: 5330029, Page: 51, Side: a, Line: 63, Word: 1",R,,,,,they,,,,אינון,hynwn hynwn P01 C,R,they,0.28341613980332986,51,,63
"""kynwyy","Masekhet: 5330029, Page: 51, Side: a, Line: 63, Word: 2",No data,,,,,,,,,כינויי,None,No data,,23.98480797695953,51,,63
"kynwyyN""...","Masekhet: 5330029, Page: 51, Side: a, Line: 63, Word: 3",No data,,,,,,,,,כינויין,None,No data,,23.98480797695953,51,,63
mnzq<n>),"Masekhet: 5330029, Page: 51, Side: a, Line: 64, Word: 0",verb D,,,,,,,,,מנזקנא,nzq#2,verb pael,,0.0022948675287719016,51,,64
mnzyqn),"Masekhet: 5330029, Page: 51, Side: a, Line: 64, Word: 1",verb D,,,,,,,,,מנזיקנא,nzq#2,verb pael,,0.0022948675287719016,51,,64
mpxzn),"Masekhet: 5330029, Page: 51, Side: a, Line: 64, Word: 2",verb D,,,,,artificial word for oath,,,,מפחזנא,pxz#2,verb pael,artificial word for oath,0.0022948675287719016,51,,64
""")mr","Masekhet: 5330029, Page: 51, Side: a, Line: 64, Word: 3",No data,,,,,,,,,אמר,None,No data,,23.98480797695953,51,,64
r',"Masekhet: 5330029, Page: 51, Side: a, Line: 64, Word: 4",No data,,,,,,,,,ר',None,No data,,23.98480797695953,51,,64
ywsh,"Masekhet: 5330029, Page: 51, Side: a, Line: 64, Word: 5",No data,,,,,,,,,יוסה,None,No data,,23.98480797695953,51,,64
)yN,"Masekhet: 5330029, Page: 51, Side: a, Line: 64, Word: 6",No data,,,,,,,,,אין,None,No data,,23.98480797695953,51,,64
)ylw,"Masekhet: 5330029, Page: 51, Side: a, Line: 64, Word: 7",No data,,,,,,,,,אילו,None,No data,,23.98480797695953,51,,64
"kynwy""","Masekhet: 5330029, Page: 51, Side: a, Line: 64, Word: 8",No data,,,,,,,,,כינוי,None,No data,,23.98480797695953,51,,64
"""kynwyyN","Masekhet: 5330029, Page: 51, Side: b, Line: 01, Word: 0",No data,,,,,,,,,כינויין,None,No data,,23.98480797695953,51,,01
kynwyyN,"Masekhet: 5330029, Page: 51, Side: b, Line: 01, Word: 1",No data,,,,,,,,,כינויין,None,No data,,23.98480797695953,51,,01
"mm$""","Masekhet: 5330029, Page: 51, Side: b, Line: 01, Word: 2",No data,,,,,,,,,ממש,None,No data,,23.98480797695953,51,,01
)ynwN,"Masekhet: 5330029, Page: 51, Side: b, Line: 01, Word: 3",R,,,,,they,,,,אינון,hynwn hynwn P01 C,R,they,0.28341613980332986,51,,01
""")ylw","Masekhet: 5330029, Page: 51, Side: b, Line: 01, Word: 4",No data,,,,,,,,,אילו,None,No data,,23.98480797695953,51,,01
"h)wmr""","Masekhet: 5330029, Page: 51, Side: b, Line: 01, Word: 5",No data,,,,,,,,,האומר,None,No data,,23.98480797695953,51,,01
mndrn),"Masekhet: 5330029, Page: 51, Side: b, Line: 01, Word: 6",verb D,,,,,to vow,"to vex (?), i.e., vow to harm(?)",,,מנדרנא,ndr,verb pael,"to vow | to vex (?), i.e., vow to harm(?)",0.013769205172631409,51,,01
"""$m)","Masekhet: 5330029, Page: 51, Side: b, Line: 01, Word: 7",No data,,,,,,,,,שמא,None,No data,,23.98480797695953,51,,01
)ynw,"Masekhet: 5330029, Page: 51, Side: b, Line: 01, Word: 8",No data,,,,,,,,,אינו,None,No data,,23.98480797695953,51,,01
nzyr,"Masekhet: 5330029, Page: 51, Side: b, Line: 01, Word: 9",No data,,,,,,,,,נזיר,None,No data,,23.98480797695953,51,,01
")ylw""","Masekhet: 5330029, Page: 51, Side: b, Line: 01, Word: 10",No data,,,,,,,,,אילו,None,No data,,23.98480797695953,51,,01
mnz{d}<r>n),"Masekhet: 5330029, Page: 51, Side: b, Line: 01, Word: 11",verb D,,,,,to excommunicate,,,,מנזרנא,nzr,verb pael,to excommunicate,0.0011474337643859508,51,,01
"""k)wmr""","Masekhet: 5330029, Page: 51, Side: b, Line: 02, Word: 0",No data,,,,,,,,,כאומר,None,No data,,23.98480797695953,51,,02
mpxzn),"Masekhet: 5330029, Page: 51, Side: b, Line: 02, Word: 1",verb D,,,,,artificial word for oath,,,,מפחזנא,pxz#2,verb pael,artificial word for oath,0.0022948675287719016,51,,02
)ylyN,"Masekhet: 5330029, Page: 51, Side: b, Line: 02, Word: 2",R,,,,,these (m. and f.),,,,אילין,)ylyyn )ylyyn P01 C,R,these (m. and f.),0.2593200307512249,51,,02
)ynwN,"Masekhet: 5330029, Page: 51, Side: b, Line: 02, Word: 3",R,,,,,they,,,,אינון,hynwn hynwn P01 C,R,they,0.28341613980332986,51,,02
"""kynwyy","Masekhet: 5330029, Page: 51, Side: b, Line: 02, Word: 4",No data,,,,,,,,,כינויי,None,No data,,23.98480797695953,51,,02
"kynwyyN""","Masekhet: 5330029, Page: 51, Side: b, Line: 02, Word: 5",No data,,,,,,,,,כינויין,None,No data,,23.98480797695953,51,,02
kyny,"Masekhet: 5330029, Page: 51, Side: b, Line: 19, Word: 0",a01 C,,,,,"thus, so",,,,כיני,kn,a01 (h)aphel,"thus, so",0.489954217392801,51,,19
mtnyt',"Masekhet: 5330029, Page: 51, Side: b, Line: 19, Word: 1",noun sg. emphatic,,,,,tannaitic tradition,,,,מתנית',mtny,noun sg. emphatic,tannaitic tradition,0.3614416357815745,51,,19
^)wrxyh,"Masekhet: 5330029, Page: 51, Side: b, Line: 26, Word: 0",noun sg. emphatic,,,,,"way, road",,,,אורחיה,)wrx,noun sg. emphatic,"way, road",0.02983327787403472,51,,26
