text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings,word_percentage_yersushalmi,Page,Side,Line
kywN,"Masekhet: 0000000, Page: 00, Side: a, Line: 00, Word: 0",No data,,,,,,,,,כיון,None,No data,,23.98480797695953,00,,00
wlyt,"Masekhet: 5330027, Page: 36, Side: c, Line: 42, Word: 0",verb G,c,,,,,,,,ולית,w_,verb peal | conjunction,,5.046413695769412,36,,42
lyh,"Masekhet: 5330027, Page: 36, Side: c, Line: 42, Word: 1",p02 C,,,,,,,,,ליה,l_,preposition with pronominal suffix (h)aphel,,5.087721311287306,36,,42
lr',"Masekhet: 5330027, Page: 36, Side: c, Line: 42, Word: 2",p03,N,,,,chief; teacher,,,,לר',rby#2 rby#2 noun sg. abs. or construct,preposition proclitic | noun,chief; teacher,4.462369909696963,36,,42
y$m()l,"Masekhet: 5330027, Page: 36, Side: c, Line: 42, Word: 3",PN Personal name,,,,,,,,,ישמעאל,y$m()l,proper name Personal name,,0.043602483046666134,36,,42
kN,"Masekhet: 5330027, Page: 36, Side: c, Line: 42, Word: 4",a01 C,,,,,"thus, so",,,,כן,kn,a01 (h)aphel,"thus, so",0.489954217392801,36,,42
kwlh,"Masekhet: 5330027, Page: 36, Side: c, Line: 42, Word: 5",noun sg. emphatic,,,,,"all, every",,,,כולה,kl,noun sg. emphatic,"all, every",0.4348773967022754,36,,42
mN,"Masekhet: 5330027, Page: 36, Side: c, Line: 42, Word: 6",p01,,,,,from,,,,מן,mn,preposition independent,from,1.6362405480143658,36,,42
tmN,"Masekhet: 5330027, Page: 36, Side: c, Line: 42, Word: 7",X,,,,,there,,,,תמן,tmn tmn a01 C,X,there,0.33275579167192576,36,,42
)yt,"Masekhet: 5330027, Page: 36, Side: c, Line: 43, Word: 0",verb G,,,,,,,,,אית,)yt,verb peal,,0.349967298137715,36,,43
lyh,"Masekhet: 5330027, Page: 36, Side: c, Line: 43, Word: 1",p02 C,,,,,,,,,ליה,l_,preposition with pronominal suffix (h)aphel,,5.087721311287306,36,,43
"""mykN","Masekhet: 5330027, Page: 36, Side: c, Line: 43, Word: 2",No data,,,,,,,,,מיכן,None,No data,,23.98480797695953,36,,43
$kynwy,"Masekhet: 5330027, Page: 36, Side: c, Line: 43, Word: 3",No data,,,,,,,,,שכינוי,None,No data,,23.98480797695953,36,,43
ndryM,"Masekhet: 5330027, Page: 36, Side: c, Line: 43, Word: 4",No data,,,,,,,,,נדרים,None,No data,,23.98480797695953,36,,43
kndryM,"Masekhet: 5330027, Page: 36, Side: c, Line: 43, Word: 5",No data,,,,,,,,,כנדרים,None,No data,,23.98480797695953,36,,43
wkynwy,"Masekhet: 5330027, Page: 36, Side: c, Line: 43, Word: 6",No data,,,,,,,,,וכינוי,None,No data,,23.98480797695953,36,,43
$bw(wt,"Masekhet: 5330027, Page: 36, Side: c, Line: 43, Word: 7",No data,,,,,,,,,שבועות,None,No data,,23.98480797695953,36,,43
"k$bw(wt""","Masekhet: 5330027, Page: 36, Side: c, Line: 43, Word: 8",No data,,,,,,,,,כשבועות,None,No data,,23.98480797695953,36,,43
)yt,"Masekhet: 5330027, Page: 36, Side: c, Line: 43, Word: 9",verb G,,,,,,,,,אית,)yt,verb peal,,0.349967298137715,36,,43
lyh,"Masekhet: 5330027, Page: 36, Side: c, Line: 43, Word: 10",p02 C,,,,,,,,,ליה,l_,preposition with pronominal suffix (h)aphel,,5.087721311287306,36,,43
"""mykN","Masekhet: 5330027, Page: 36, Side: c, Line: 43, Word: 11",No data,,,,,,,,,מיכן,None,No data,,23.98480797695953,36,,43
"lndr""","Masekhet: 5330027, Page: 36, Side: c, Line: 43, Word: 12",No data,,,,,,,,,לנדר,None,No data,,23.98480797695953,36,,43
"""$bTl","Masekhet: 5330027, Page: 36, Side: c, Line: 44, Word: 0",No data,,,,,,,,,שבטל,None,No data,,23.98480797695953,36,,44
mqctw,"Masekhet: 5330027, Page: 36, Side: c, Line: 44, Word: 1",No data,,,,,,,,,מקצתו,None,No data,,23.98480797695953,36,,44
bTl,"Masekhet: 5330027, Page: 36, Side: c, Line: 44, Word: 2",No data,,,,,,,,,בטל,None,No data,,23.98480797695953,36,,44
kwlw,"Masekhet: 5330027, Page: 36, Side: c, Line: 44, Word: 3",No data,,,,,,,,,כולו,None,No data,,23.98480797695953,36,,44
mh,"Masekhet: 5330027, Page: 36, Side: c, Line: 44, Word: 4",No data,,,,,,,,,מה,None,No data,,23.98480797695953,36,,44
mqyyM,"Masekhet: 5330027, Page: 36, Side: c, Line: 44, Word: 5",No data,,,,,,,,,מקיים,None,No data,,23.98480797695953,36,,44
r',"Masekhet: 5330027, Page: 36, Side: c, Line: 44, Word: 6",No data,,,,,,,,,ר',None,No data,,23.98480797695953,36,,44
y$m()l,"Masekhet: 5330027, Page: 36, Side: c, Line: 44, Word: 7",No data,,,,,,,,,ישמעאל,None,No data,,23.98480797695953,36,,44
ndr,"Masekhet: 5330027, Page: 36, Side: c, Line: 44, Word: 8",No data,,,,,,,,,נדר,None,No data,,23.98480797695953,36,,44
nzyr,"Masekhet: 5330027, Page: 36, Side: c, Line: 44, Word: 9",No data,,,,,,,,,נזיר,None,No data,,23.98480797695953,36,,44
lhzyr,"Masekhet: 5330027, Page: 36, Side: c, Line: 44, Word: 10",No data,,,,,,,,,להזיר,None,No data,,23.98480797695953,36,,44
mykN,"Masekhet: 5330027, Page: 36, Side: c, Line: 44, Word: 11",No data,,,,,,,,,מיכן,None,No data,,23.98480797695953,36,,44
"$)dM""","Masekhet: 5330027, Page: 36, Side: c, Line: 44, Word: 12",No data,,,,,,,,,שאדם,None,No data,,23.98480797695953,36,,44
"""qwb(","Masekhet: 5330027, Page: 36, Side: c, Line: 45, Word: 0",No data,,,,,,,,,קובע,None,No data,,23.98480797695953,36,,45
(lyw,"Masekhet: 5330027, Page: 36, Side: c, Line: 45, Word: 1",No data,,,,,,,,,עליו,None,No data,,23.98480797695953,36,,45
nzyrwt,"Masekhet: 5330027, Page: 36, Side: c, Line: 45, Word: 2",No data,,,,,,,,,נזירות,None,No data,,23.98480797695953,36,,45
btwK,"Masekhet: 5330027, Page: 36, Side: c, Line: 45, Word: 3",No data,,,,,,,,,בתוך,None,No data,,23.98480797695953,36,,45
"nzyrwtw""","Masekhet: 5330027, Page: 36, Side: c, Line: 45, Word: 4",No data,,,,,,,,,נזירותו,None,No data,,23.98480797695953,36,,45
wlyt,"Masekhet: 5330027, Page: 36, Side: c, Line: 45, Word: 5",verb G,c,,,,,,,,ולית,w_,verb peal | conjunction,,5.046413695769412,36,,45
lr',"Masekhet: 5330027, Page: 36, Side: c, Line: 45, Word: 6",p03,N,,,,chief; teacher,,,,לר',rby#2 rby#2 noun sg. abs. or construct,preposition proclitic | noun,chief; teacher,4.462369909696963,36,,45
(qybh,"Masekhet: 5330027, Page: 36, Side: c, Line: 45, Word: 7",PN Personal name,,,,,,,,,עקיבה,(qybh,proper name Personal name,,0.05737168821929754,36,,45
kN,"Masekhet: 5330027, Page: 36, Side: c, Line: 45, Word: 8",a01 C,,,,,"thus, so",,,,כן,kn,a01 (h)aphel,"thus, so",0.489954217392801,36,,45
)yt,"Masekhet: 5330027, Page: 36, Side: c, Line: 45, Word: 9",verb G,,,,,,,,,אית,)yt,verb peal,,0.349967298137715,36,,45
lyh,"Masekhet: 5330027, Page: 36, Side: c, Line: 45, Word: 10",p02 C,,,,,,,,,ליה,l_,preposition with pronominal suffix (h)aphel,,5.087721311287306,36,,45
kwlh,"Masekhet: 5330027, Page: 36, Side: c, Line: 45, Word: 11",noun sg. emphatic,,,,,"all, every",,,,כולה,kl,noun sg. emphatic,"all, every",0.4348773967022754,36,,45
mtmN,"Masekhet: 5330027, Page: 36, Side: c, Line: 45, Word: 12",X,,,,,there,,,,מתמן,tmn tmn a01 C,X,there,0.33275579167192576,36,,45
)yt,"Masekhet: 5330027, Page: 36, Side: c, Line: 46, Word: 0",verb G,,,,,,,,,אית,)yt,verb peal,,0.349967298137715,36,,46
lyh,"Masekhet: 5330027, Page: 36, Side: c, Line: 46, Word: 1",p02 C,,,,,,,,,ליה,l_,preposition with pronominal suffix (h)aphel,,5.087721311287306,36,,46
"""mykN","Masekhet: 5330027, Page: 36, Side: c, Line: 46, Word: 2",No data,,,,,,,,,מיכן,None,No data,,23.98480797695953,36,,46
$)dM,"Masekhet: 5330027, Page: 36, Side: c, Line: 46, Word: 3",No data,,,,,,,,,שאדם,None,No data,,23.98480797695953,36,,46
qwb(,"Masekhet: 5330027, Page: 36, Side: c, Line: 46, Word: 4",No data,,,,,,,,,קובע,None,No data,,23.98480797695953,36,,46
(lyw,"Masekhet: 5330027, Page: 36, Side: c, Line: 46, Word: 5",No data,,,,,,,,,עליו,None,No data,,23.98480797695953,36,,46
nzyrwt,"Masekhet: 5330027, Page: 36, Side: c, Line: 46, Word: 6",No data,,,,,,,,,נזירות,None,No data,,23.98480797695953,36,,46
btwK,"Masekhet: 5330027, Page: 36, Side: c, Line: 46, Word: 7",No data,,,,,,,,,בתוך,None,No data,,23.98480797695953,36,,46
