text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings,word_percentage_yersushalmi,Page,Side,Line
r',"Masekhet: 5330039, Page: 48, Side: d, Line: 45, Word: 0",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher,4.462369909696963,48,,45
)my,"Masekhet: 5330039, Page: 48, Side: d, Line: 45, Word: 1",PN Personal name,,,,,,,,,אמי,)my,proper name Personal name,,0.0768780622138587,48,,45
b(y,"Masekhet: 5330039, Page: 48, Side: d, Line: 45, Word: 2",verb G,,,,,"to seek, look for",to ask a question,"to wish for something, want, request",to require,בעי,b(y,verb peal,"to seek, look for | to ask a question | to wish for something, want, request | to require",0.4991336875078886,48,,45
mtnyt',"Masekhet: 5330039, Page: 48, Side: d, Line: 45, Word: 3",noun sg. emphatic,,,,,tannaitic tradition,,,,מתנית',mtny,noun sg. emphatic,tannaitic tradition,0.3614416357815745,48,,45
dl),"Masekhet: 5330039, Page: 48, Side: d, Line: 45, Word: 4",c,a01,,,,"no, not",,,,דלא,l),conjunction | a01,"no, not",1.3195488290438433,48,,45
k$my,"Masekhet: 5330039, Page: 48, Side: d, Line: 45, Word: 5",PN Personal name,p02,,,,like,,,,כשמי,k_,proper name Personal name | preposition with pronominal suffix,like,0.41881332400087207,48,,45
)m',"Masekhet: 5330039, Page: 48, Side: d, Line: 46, Word: 0",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמ',)mr,verb peal,to say | to command | to think | idiomatic and special usages:,4.212229349060825,48,,46
r,"Masekhet: 5330039, Page: 48, Side: d, Line: 46, Word: 1",N,,,,,chief; teacher,,,,ר,rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher,4.462369909696963,48,,46
ywsy,"Masekhet: 5330039, Page: 48, Side: d, Line: 46, Word: 2",PN Personal name,,,,,,,,,יוסי,ywsy,proper name Personal name,,0.37406340718981995,48,,46
)yN,"Masekhet: 5330039, Page: 48, Side: d, Line: 46, Word: 3",I01,,,,,yes,,,,אין,)yn,I01,yes,0.043602483046666134,48,,46
lyt,"Masekhet: 5330039, Page: 48, Side: d, Line: 46, Word: 4",verb G,,,,,,,,,לית,lyt,verb peal,,0.5083131576229762,48,,46
hy),"Masekhet: 5330039, Page: 48, Side: d, Line: 46, Word: 5",P01 C,,,,,she,,,,היא,hy),preposition independent (h)aphel,she,0.36717880460350427,48,,46
k$my,"Masekhet: 5330039, Page: 48, Side: d, Line: 46, Word: 6",PN Personal name,p02,,,,like,,,,כשמי,k_,proper name Personal name | preposition with pronominal suffix,like,0.41881332400087207,48,,46
)py',"Masekhet: 5330039, Page: 48, Side: d, Line: 46, Word: 7",c,,,,,"even if , even",,,,אפי',)pylw,conjunction,"even if , even",0.08261523103578847,48,,46
khll,"Masekhet: 5330039, Page: 48, Side: d, Line: 46, Word: 8",PN Personal name,p02,,,,like,,,,כהלל,k_,proper name Personal name | preposition with pronominal suffix,like,0.41881332400087207,48,,46
lyt,"Masekhet: 5330039, Page: 48, Side: d, Line: 46, Word: 9",verb G,,,,,,,,,לית,lyt,verb peal,,0.5083131576229762,48,,46
hy),"Masekhet: 5330039, Page: 48, Side: d, Line: 46, Word: 10",P01 C,,,,,she,,,,היא,hy),preposition independent (h)aphel,she,0.36717880460350427,48,,46
xd,"Masekhet: 5330039, Page: 48, Side: d, Line: 51, Word: 0",n01 C,,,,,one,,,,חד,xd,numeral singular absolute or construct (h)aphel,one,0.8158254064784111,48,,51
r',"Masekhet: 5330039, Page: 48, Side: d, Line: 51, Word: 1",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher,4.462369909696963,48,,51
Twby...,"Masekhet: 5330039, Page: 48, Side: d, Line: 51, Word: 2",PN Personal name,,,,,,,,,טובי,Twby,proper name Personal name,,0.004589735057543803,48,,51
)m',"Masekhet: 5330039, Page: 48, Side: d, Line: 52, Word: 0",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמ',)mr,verb peal,to say | to command | to think | idiomatic and special usages:,4.212229349060825,48,,52
r',"Masekhet: 5330039, Page: 48, Side: d, Line: 52, Word: 1",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher,4.462369909696963,48,,52
y(qb,"Masekhet: 5330039, Page: 48, Side: d, Line: 52, Word: 2",PN Personal name,,,,,,,,,יעקב,y(qb,proper name Personal name,,0.11818567773175294,48,,52
br,"Masekhet: 5330039, Page: 48, Side: d, Line: 52, Word: 3",noun sg. abs. or construct,,,,,son,,,,בר,br,noun sg. abs. or construct,son,0.7733703571961309,48,,52
)x),"Masekhet: 5330039, Page: 48, Side: d, Line: 52, Word: 4",PN Personal name,,,,,,,,,אחא,)x),proper name Personal name,,0.14113435301947194,48,,52
kd,"Masekhet: 5330039, Page: 48, Side: d, Line: 52, Word: 5",c,,,,,when,,,,כד,kd,conjunction,when,0.26964693463069844,48,,52
slyqyt,"Masekhet: 5330039, Page: 48, Side: d, Line: 52, Word: 6",verb G,,,,,to go up,to result,to travel,idioms:,סליקית,slq,verb peal,to go up | to result | to travel | idioms:,0.2409610905210497,48,,52
lhk),"Masekhet: 5330039, Page: 48, Side: d, Line: 52, Word: 7",a01 C,p03,,,,here,,,,להכא,l_,a01 (h)aphel | preposition proclitic,here,5.087721311287306,48,,52
$m(yt,"Masekhet: 5330039, Page: 48, Side: d, Line: 52, Word: 8",verb G,,,,,to hear (w. d.o. or,) something,to listen,,שמעית,$m(,verb peal,to hear (w. d.o. or | ) something | to listen,0.4142235889433282,48,,52
mN,"Masekhet: 5330039, Page: 48, Side: d, Line: 52, Word: 9",p01,,,,,from,,,,מן,mn,preposition independent,from,1.6362405480143658,48,,52
kl,"Masekhet: 5330039, Page: 48, Side: d, Line: 52, Word: 10",noun sg. abs. or construct,,,,,"all, every",,,,כל,kl,noun sg. abs. or construct,"all, every",0.4348773967022754,48,,52
rbnN,"Masekhet: 5330039, Page: 48, Side: d, Line: 52, Word: 11",noun pl. emphatic,,,,,chief; teacher,,,,רבנן,rb,noun pl. emphatic,chief; teacher,1.192183681197003,48,,52
"""mwtrt","Masekhet: 5330039, Page: 48, Side: d, Line: 52, Word: 12",No data,,,,,,,,,מותרת,None,No data,,23.98480797695953,48,,52
lbyth,"Masekhet: 5330039, Page: 48, Side: d, Line: 52, Word: 13",No data,,,,,,,,,לביתה,None,No data,,23.98480797695953,48,,52
"myd""","Masekhet: 5330039, Page: 48, Side: d, Line: 52, Word: 14",No data,,,,,,,,,מיד,None,No data,,23.98480797695953,48,,52
hwwN,"Masekhet: 5330039, Page: 48, Side: d, Line: 53, Word: 0",verb G,,,,,to be,"to endure, to exist","to come to pass, to happen",in idioms:,הוון,hwy,verb peal,"to be | to endure, to exist | to come to pass, to happen | in idioms:",1.5777214260306822,48,,53
