text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings,word_percentage_yersushalmi,Page,Side,Line
)P,"Masekhet: 5330014, Page: 27, Side: a, Line: 49, Word: 0",c,,,,,"also, even",,,,אף,)wp )wp c,conjunction,"also, even",0.09408956867964796,27,,49
)yt,"Masekhet: 5330014, Page: 27, Side: a, Line: 49, Word: 1",verb G,,,,,,,,,אית,)yt,verb peal,,0.349967298137715,27,,49
lyh,"Masekhet: 5330014, Page: 27, Side: a, Line: 49, Word: 2",p02 C,,,,,,,,,ליה,l_,preposition with pronominal suffix (h)aphel,,5.087721311287306,27,,49
kyy,"Masekhet: 5330014, Page: 27, Side: a, Line: 49, Word: 3",P01 C,p02,,,,that one (f.),like,,,כיי,k_,preposition independent (h)aphel | preposition with pronominal suffix,that one (f.) | like,0.41881332400087207,27,,49
dmr,"Masekhet: 5330014, Page: 27, Side: a, Line: 50, Word: 0",verb G,c,,,,to say,to command,to think,idiomatic and special usages:,דמר,d_ d_ c,verb peal | conjunction,to say | to command | to think | idiomatic and special usages:,1.2495553694163004,27,,50
r',"Masekhet: 5330014, Page: 27, Side: a, Line: 50, Word: 1",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher,4.462369909696963,27,,50
ywsy,"Masekhet: 5330014, Page: 27, Side: a, Line: 50, Word: 2",PN Personal name,,,,,,,,,יוסי,ywsy,proper name Personal name,,0.37406340718981995,27,,50
"""wytxyl","Masekhet: 5330014, Page: 27, Side: a, Line: 50, Word: 3",No data,,,,,,,,,ויתחיל,None,No data,,23.98480797695953,27,,50
)wr,"Masekhet: 5330014, Page: 27, Side: a, Line: 50, Word: 4",No data,,,,,,,,,אור,None,No data,,23.98480797695953,27,,50
l$l$h,"Masekhet: 5330014, Page: 27, Side: a, Line: 50, Word: 5",No data,,,,,,,,,לשלשה,None,No data,,23.98480797695953,27,,50
"($r""","Masekhet: 5330014, Page: 27, Side: a, Line: 50, Word: 6",No data,,,,,,,,,עשר,None,No data,,23.98480797695953,27,,50
)yN,"Masekhet: 5330014, Page: 27, Side: a, Line: 50, Word: 7",c,,,,,if,,,,אין,)yn )yn c,conjunction,if,0.327018622849996,27,,50
kyny,"Masekhet: 5330014, Page: 27, Side: a, Line: 50, Word: 8",a01 C,,,,,"thus, so",,,,כיני,kn,a01 (h)aphel,"thus, so",0.489954217392801,27,,50
"""ybdwq","Masekhet: 5330014, Page: 27, Side: a, Line: 50, Word: 9",No data,,,,,,,,,יבדוק,None,No data,,23.98480797695953,27,,50
)pylw,"Masekhet: 5330014, Page: 27, Side: a, Line: 50, Word: 10",No data,,,,,,,,,אפילו,None,No data,,23.98480797695953,27,,50
mr)$,"Masekhet: 5330014, Page: 27, Side: a, Line: 50, Word: 11",No data,,,,,,,,,מראש,None,No data,,23.98480797695953,27,,50
"xd$""","Masekhet: 5330014, Page: 27, Side: a, Line: 50, Word: 12",No data,,,,,,,,,חדש,None,No data,,23.98480797695953,27,,50
mylyhwN,"Masekhet: 5330014, Page: 27, Side: a, Line: 64, Word: 0",N,,,,,"word, speech; thing",,,,מיליהון,mylh mylh noun pl. emphatic,noun,"word, speech; thing",0.06769859209877109,27,,64
drbnyN,"Masekhet: 5330014, Page: 27, Side: b, Line: 01, Word: 0",p,noun pl. emphatic,,,,chief; teacher,,,,דרבנין,rb,preposition | noun pl. emphatic,chief; teacher,1.192183681197003,27,,01
)mryN,"Masekhet: 5330014, Page: 27, Side: b, Line: 01, Word: 1",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמרין,)mr,verb peal,to say | to command | to think | idiomatic and special usages:,4.212229349060825,27,,01
l),"Masekhet: 5330014, Page: 27, Side: b, Line: 01, Word: 2",a01 C,,,,,"no, not",,,,לא,l),a01 (h)aphel,"no, not",1.3195488290438433,27,,01
kmh,"Masekhet: 5330014, Page: 27, Side: b, Line: 01, Word: 3",c,,,,,just as,,,,כמה,kmh,conjunction,just as,0.06769859209877109,27,,01
dhw),"Masekhet: 5330014, Page: 27, Side: b, Line: 01, Word: 4",c,P01 C,,,,he,,,,דהוא,hw),conjunction | preposition independent (h)aphel,he,0.6001078587738523,27,,01
mnhr,"Masekhet: 5330014, Page: 27, Side: b, Line: 01, Word: 5",verb C,,,,,to illuminate,"to kindle, make to give light",to enable to see (eyes),,מנהר,nhr,verb (h)aphel,"to illuminate | to kindle, make to give light | to enable to see (eyes)",0.03212814540280662,27,,01
blyly),"Masekhet: 5330014, Page: 27, Side: b, Line: 01, Word: 6",p02,noun sg. emphatic,,,,"in, with",night,,,בליליא,lyly,preposition with pronominal suffix | noun sg. emphatic,"in, with | night",0.02868584410964877,27,,01
hw),"Masekhet: 5330014, Page: 27, Side: b, Line: 01, Word: 7",P01 C,,,,,he,,,,הוא,hw),preposition independent (h)aphel,he,0.6001078587738523,27,,01
mnhr,"Masekhet: 5330014, Page: 27, Side: b, Line: 01, Word: 8",verb C,,,,,to illuminate,"to kindle, make to give light",to enable to see (eyes),,מנהר,nhr,verb (h)aphel,"to illuminate | to kindle, make to give light | to enable to see (eyes)",0.03212814540280662,27,,01
b)ymm),"Masekhet: 5330014, Page: 27, Side: b, Line: 01, Word: 9",noun sg. emphatic,p02,,,,daytime,"in, with",,,באיממא,b_,noun sg. emphatic | preposition with pronominal suffix,"daytime | in, with",0.9512225906759533,27,,01
kd,"Masekhet: 5330014, Page: 27, Side: b, Line: 02, Word: 0",c,,,,,when,,,,כד,kd,conjunction,when,0.26964693463069844,27,,02
hwynN,"Masekhet: 5330014, Page: 27, Side: b, Line: 02, Word: 1",verb G,,,,,to be,"to endure, to exist","to come to pass, to happen",in idioms:,הוינן,hwy,verb peal,"to be | to endure, to exist | to come to pass, to happen | in idioms:",1.5777214260306822,27,,02
(rqyN,"Masekhet: 5330014, Page: 27, Side: b, Line: 02, Word: 2",verb G,,,,,to flee,"to avoid, stay away",,,ערקין,(rq,verb peal,"to flee | to avoid, stay away",0.017211506465789263,27,,02
b)ylyN,"Masekhet: 5330014, Page: 27, Side: b, Line: 02, Word: 3",R,p02,,,,these (m. and f.),"in, with",,,באילין,b_,R | preposition with pronominal suffix,"these (m. and f.) | in, with",0.9512225906759533,27,,02
bwTyt),"Masekhet: 5330014, Page: 27, Side: b, Line: 02, Word: 4",noun pl. emphatic,,,,,cave (??),,,,בוטיתא,bwTy,noun pl. emphatic,cave (??),0.0011474337643859508,27,,02
