text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings,word_percentage_yersushalmi,Page,Side,Line
hwyyN,"Masekhet: 5330030, Page: 58, Side: c, Line: 30, Word: 0",verb G,,,,,to be,"to endure, to exist","to come to pass, to happen",in idioms:,הויין,hwy,verb peal,"to be | to endure, to exist | to come to pass, to happen | in idioms:",1.5777214260306822,58,,30
rbnyN,"Masekhet: 5330030, Page: 58, Side: c, Line: 30, Word: 1",noun pl. emphatic,,,,,chief; teacher,,,,רבנין,rb,noun pl. emphatic,chief; teacher,1.192183681197003,58,,30
plygyN,"Masekhet: 5330030, Page: 58, Side: c, Line: 30, Word: 2",verb G,,,,,to divide (trans.),to be in the middle,"to be distinctive, outstanding","to be halved, become divided",פליגין,plg,verb peal,"to divide (trans.) | to be in the middle | to be distinctive, outstanding | to be halved, become divided",0.3075122488554348,58,,30
)yN,"Masekhet: 5330030, Page: 58, Side: c, Line: 36, Word: 0",c,,,,,if,,,,אין,)yn )yn c,conjunction,if,0.327018622849996,58,,36
tymr,"Masekhet: 5330030, Page: 58, Side: c, Line: 36, Word: 1",verb G,,,,,to say,to command,to think,idiomatic and special usages:,תימר,)mr,verb peal,to say | to command | to think | idiomatic and special usages:,4.212229349060825,58,,36
kN,"Masekhet: 5330030, Page: 58, Side: c, Line: 36, Word: 2",a01 C,,,,,"thus, so",,,,כן,kn,a01 (h)aphel,"thus, so",0.489954217392801,58,,36
lyt,"Masekhet: 5330030, Page: 58, Side: c, Line: 36, Word: 3",verb G,,,,,,,,,לית,lyt,verb peal,,0.5083131576229762,58,,36
hd),"Masekhet: 5330030, Page: 58, Side: c, Line: 36, Word: 4",P01 C,,,,,this (f.),,,,הדא,hd),preposition independent (h)aphel,this (f.),0.6471526431136763,58,,36
plyg),"Masekhet: 5330030, Page: 58, Side: c, Line: 36, Word: 5",verb G,,,,,to divide (trans.),to be in the middle,"to be distinctive, outstanding","to be halved, become divided",פליגא,plg,verb peal,"to divide (trans.) | to be in the middle | to be distinctive, outstanding | to be halved, become divided",0.3075122488554348,58,,36
(l,"Masekhet: 5330030, Page: 58, Side: c, Line: 36, Word: 6",p01 C,,,,,upon; against; to,,,,על,(l,preposition independent (h)aphel,upon; against; to,0.9638443620841988,58,,36
rb,"Masekhet: 5330030, Page: 58, Side: c, Line: 36, Word: 7",PN Personal name,,,,,,,,,רב,rb,proper name Personal name,,1.192183681197003,58,,36
"""wxmC","Masekhet: 5330030, Page: 58, Side: c, Line: 37, Word: 0",No data,,,,,,,,,וחמץ,None,No data,,23.98480797695953,58,,37
m$$,"Masekhet: 5330030, Page: 58, Side: c, Line: 37, Word: 1",No data,,,,,,,,,משש,None,No data,,23.98480797695953,58,,37
$(wt,"Masekhet: 5330030, Page: 58, Side: c, Line: 37, Word: 2",No data,,,,,,,,,שעות,None,No data,,23.98480797695953,58,,37
"wlm(lN""","Masekhet: 5330030, Page: 58, Side: c, Line: 37, Word: 3",No data,,,,,,,,,ולמעלן,None,No data,,23.98480797695953,58,,37
Tb,"Masekhet: 5330030, Page: 58, Side: c, Line: 37, Word: 4",A01 C,,,,,good,,,,טב,Tb,adjective singular absolute or construct (h)aphel,good,0.0722883271563149,58,,37
hw),"Masekhet: 5330030, Page: 58, Side: c, Line: 37, Word: 5",P01 C,,,,,he,,,,הוא,hw),preposition independent (h)aphel,he,0.6001078587738523,58,,37
klwM,"Masekhet: 5330030, Page: 58, Side: c, Line: 37, Word: 6",P01,,,,,something,,,,כלום,klwm,preposition independent,something,0.14916638937017362,58,,37
mxlph,"Masekhet: 5330030, Page: 58, Side: c, Line: 42, Word: 0",verb C,,,,,to exchange,to sprout forth again,to make pass over or by,,מחלפה,xlp,verb (h)aphel,to exchange | to sprout forth again | to make pass over or by,0.08605753232894632,58,,42
