text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings,word_percentage_yersushalmi,Page,Side,Line
whyy dyN,"Masekhet: 5330018, Page: 56, Side: a, Line: 53, Word: 0",P01 C,c,,,,which one (masc.),"and, also",,,והיי דין,w_,preposition independent (h)aphel | conjunction,"which one (masc.) | and, also",5.046413695769412,56,,53
hw),"Masekhet: 5330018, Page: 56, Side: a, Line: 53, Word: 1",P01 C,,,,,he,,,,הוא,hw),preposition independent (h)aphel,he,0.6001078587738523,56,,53
"""$ny","Masekhet: 5330018, Page: 56, Side: a, Line: 53, Word: 2",No data,,,,,,,,,שני,None,No data,,23.98480797695953,56,,53
"$bxd$yM""","Masekhet: 5330018, Page: 56, Side: a, Line: 53, Word: 3",No data,,,,,,,,,שבחדשים,None,No data,,23.98480797695953,56,,53
whyy dyN,"Masekhet: 5330018, Page: 56, Side: a, Line: 53, Word: 4",P01 C,c,,,,which one (masc.),"and, also",,,והיי דין,w_,preposition independent (h)aphel | conjunction,"which one (masc.) | and, also",5.046413695769412,56,,53
hw),"Masekhet: 5330018, Page: 56, Side: a, Line: 53, Word: 5",P01 C,,,,,he,,,,הוא,hw),preposition independent (h)aphel,he,0.6001078587738523,56,,53
"""$ny","Masekhet: 5330018, Page: 56, Side: a, Line: 53, Word: 6",No data,,,,,,,,,שני,None,No data,,23.98480797695953,56,,53
"$b$nyM""","Masekhet: 5330018, Page: 56, Side: a, Line: 53, Word: 7",No data,,,,,,,,,שבשנים,None,No data,,23.98480797695953,56,,53
wxwrnh,"Masekhet: 5330018, Page: 56, Side: a, Line: 55, Word: 0",P01 C,c,,,,other,"and, also",,,וחורנה,w_,preposition independent (h)aphel | conjunction,"other | and, also",5.046413695769412,56,,55
)pylw,"Masekhet: 5330018, Page: 56, Side: a, Line: 55, Word: 1",c,,,,,"even if , even",,,,אפילו,)pylw,conjunction,"even if , even",0.08261523103578847,56,,55
m{y}xlP,"Masekhet: 5330018, Page: 56, Side: a, Line: 55, Word: 2",verb D,,,,,to exchange,to alternate something :,,,מחלף,xlp,verb pael,to exchange | to alternate something :,0.08605753232894632,56,,55
lyt,"Masekhet: 5330018, Page: 56, Side: a, Line: 55, Word: 3",verb G,,,,,,,,,לית,lyt,verb peal,,0.5083131576229762,56,,55
bh,"Masekhet: 5330018, Page: 56, Side: a, Line: 55, Word: 4",p02 C,,,,,"in, with",,,,בה,b_,preposition with pronominal suffix (h)aphel,"in, with",0.9512225906759533,56,,55
klwM,"Masekhet: 5330018, Page: 56, Side: a, Line: 55, Word: 5",P01,,,,,something,,,,כלום,klwm,preposition independent,something,0.14916638937017362,56,,55
r',"Masekhet: 5330018, Page: 56, Side: a, Line: 55, Word: 6",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher,4.462369909696963,56,,55
$m(wN,"Masekhet: 5330018, Page: 56, Side: a, Line: 55, Word: 7",PN Personal name,,,,,,,,,שמעון,$m(wN,proper name Personal name,,0.29948021250473317,56,,55
br,"Masekhet: 5330018, Page: 56, Side: a, Line: 55, Word: 8",noun sg. abs. or construct,,,,,son,,,,בר,br,noun sg. abs. or construct,son,0.7733703571961309,56,,55
krsn),"Masekhet: 5330018, Page: 56, Side: a, Line: 56, Word: 0",PN Personal name,,,,,,,,,כרסנא,krsn),proper name Personal name,,0.0022948675287719016,56,,56
b$M,"Masekhet: 5330018, Page: 56, Side: a, Line: 56, Word: 1",noun sg. abs. or construct,p02,,,,name,"in, with",,,בשם,b_,noun sg. abs. or construct | preposition with pronominal suffix,"name | in, with",0.9512225906759533,56,,56
r',"Masekhet: 5330018, Page: 56, Side: a, Line: 56, Word: 2",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher,4.462369909696963,56,,56
)x),"Masekhet: 5330018, Page: 56, Side: a, Line: 56, Word: 3",PN Personal name,,,,,,,,,אחא,)x),proper name Personal name,,0.14113435301947194,56,,56
$m(,"Masekhet: 5330018, Page: 56, Side: a, Line: 56, Word: 4",verb G,,,,,to hear (w. d.o. or,) something,to listen,,שמע,$m(,verb peal,to hear (w. d.o. or | ) something | to listen,0.4142235889433282,56,,56
lh,"Masekhet: 5330018, Page: 56, Side: a, Line: 56, Word: 5",p01,,,,,,,,,לה,l_,preposition independent,,5.087721311287306,56,,56
mN,"Masekhet: 5330018, Page: 56, Side: a, Line: 56, Word: 6",p01,,,,,from,,,,מן,mn,preposition independent,from,1.6362405480143658,56,,56
hd),"Masekhet: 5330018, Page: 56, Side: a, Line: 56, Word: 7",P01,,,,,this (f.),,,,הדא,hd),preposition independent,this (f.),0.6471526431136763,56,,56
"""hxwd$","Masekhet: 5330018, Page: 56, Side: a, Line: 56, Word: 8",No data,,,,,,,,,החודש,None,No data,,23.98480797695953,56,,56
hzh,"Masekhet: 5330018, Page: 56, Side: a, Line: 56, Word: 9",No data,,,,,,,,,הזה,None,No data,,23.98480797695953,56,,56
"lkM""","Masekhet: 5330018, Page: 56, Side: a, Line: 56, Word: 10",No data,,,,,,,,,לכם,None,No data,,23.98480797695953,56,,56
tny,"Masekhet: 5330018, Page: 56, Side: b, Line: 01, Word: 0",verb G,,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,תני,tny,verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]",0.5679797133710456,56,,01
$mw)l,"Masekhet: 5330018, Page: 56, Side: b, Line: 01, Word: 1",PN Personal name,,,,,,,,,שמואל,$mw)l,proper name Personal name,,0.1732624984222786,56,,01
wplyg,"Masekhet: 5330018, Page: 56, Side: b, Line: 01, Word: 2",verb G,c,,,,to divide (trans.),to be in the middle,"to be distinctive, outstanding","to be halved, become divided",ופליג,w_,verb peal | conjunction,"to divide (trans.) | to be in the middle | to be distinctive, outstanding | to be halved, become divided",5.046413695769412,56,,01
wh),"Masekhet: 5330018, Page: 56, Side: b, Line: 26, Word: 0",I01 C,c,,,,here! look!,"and, also",,,והא,w_,I01 (h)aphel | conjunction,"here! look! | and, also",5.046413695769412,56,,26
)yt,"Masekhet: 5330018, Page: 56, Side: b, Line: 26, Word: 1",verb G,,,,,,,,,אית,)yt,verb peal,,0.349967298137715,56,,26
b$t),"Masekhet: 5330018, Page: 56, Side: b, Line: 26, Word: 2",noun sg. emphatic,p02,,,,year,"in, with",,,בשתא,b_,noun sg. emphatic | preposition with pronominal suffix,"year | in, with",0.9512225906759533,56,,26
xm$yN,"Masekhet: 5330018, Page: 56, Side: b, Line: 26, Word: 3",n01 C,,,,,fifty,,,,חמשין,xm$yn,numeral singular absolute or construct (h)aphel,fifty,0.019506373994561163,56,,26
ywmyN,"Masekhet: 5330018, Page: 56, Side: b, Line: 26, Word: 4",noun pl. absolute,,,,,day,,,,יומין,ywm,noun pl. absolute,day,0.23522392169911993,56,,26
"""w)yN""","Masekhet: 5330018, Page: 56, Side: b, Line: 26, Word: 5",No data,,,,,,,,,ואין,None,No data,,23.98480797695953,56,,26
"""mwnyN","Masekhet: 5330018, Page: 56, Side: b, Line: 27, Word: 0",No data,,,,,,,,,מונין,None,No data,,23.98480797695953,56,,27
)wth,"Masekhet: 5330018, Page: 56, Side: b, Line: 27, Word: 1",No data,,,,,,,,,אותה,None,No data,,23.98480797695953,56,,27
$nh,"Masekhet: 5330018, Page: 56, Side: b, Line: 27, Word: 2",No data,,,,,,,,,שנה,None,No data,,23.98480797695953,56,,27
"$lymh""","Masekhet: 5330018, Page: 56, Side: b, Line: 27, Word: 3",No data,,,,,,,,,שלימה,None,No data,,23.98480797695953,56,,27
hd),"Masekhet: 5330018, Page: 56, Side: b, Line: 27, Word: 4",P01,,,,,this (f.),,,,הדא,hd),preposition independent,this (f.),0.6471526431136763,56,,27
mN,"Masekhet: 5330018, Page: 56, Side: b, Line: 27, Word: 5",p01,,,,,from,,,,מן,mn,preposition independent,from,1.6362405480143658,56,,27
ttwbth,"Masekhet: 5330018, Page: 56, Side: b, Line: 27, Word: 6",noun pl. emphatic,,,,,repentance,,,,תתובתה,ttwbh,noun pl. emphatic,repentance,0.005737168821929754,56,,27
dr',"Masekhet: 5330018, Page: 56, Side: b, Line: 27, Word: 7",p,N,,,,chief; teacher,,,,דר',rby#2 rby#2 noun sg. abs. or construct,preposition | noun,chief; teacher,4.462369909696963,56,,27
