text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings,word_percentage_yersushalmi,Page,Side,Line
l),"Masekhet: 5330012, Page: 02, Side: b, Line: 08, Word: 0",a01 C,,,,,"no, not",,,,לא,l),a01 (h)aphel,"no, not",1.3195488290438433,02,,08
)tynN,"Masekhet: 5330012, Page: 02, Side: b, Line: 08, Word: 1",verb G,,,,,to come,to occur; w.,: to befall,to be fitting,אתינן,)ty,verb peal,to come | to occur; w. | : to befall | to be fitting,0.7561588507303416,02,,08
mytny,"Masekhet: 5330012, Page: 02, Side: b, Line: 08, Word: 2",verb G,,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,מיתני,tny,verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]",0.5679797133710456,02,,08
""")l)","Masekhet: 5330012, Page: 02, Side: b, Line: 08, Word: 3",No data,,,,,,,,,אלא,None,No data,,23.98480797695953,02,,08
pTwr,"Masekhet: 5330012, Page: 02, Side: b, Line: 08, Word: 4",No data,,,,,,,,,פטור,None,No data,,23.98480797695953,02,,08
$hw),"Masekhet: 5330012, Page: 02, Side: b, Line: 08, Word: 5",No data,,,,,,,,,שהוא,None,No data,,23.98480797695953,02,,08
kngd,"Masekhet: 5330012, Page: 02, Side: b, Line: 08, Word: 6",No data,,,,,,,,,כנגד,None,No data,,23.98480797695953,02,,08
"xyywb""","Masekhet: 5330012, Page: 02, Side: b, Line: 08, Word: 7",No data,,,,,,,,,חייוב,None,No data,,23.98480797695953,02,,08
mhw,"Masekhet: 5330012, Page: 02, Side: b, Line: 08, Word: 8",P01 C,,,,,what is it ?,,,,מהו,mhw),preposition independent (h)aphel,what is it ?,0.11244850890982318,02,,08
hhN,"Masekhet: 5330012, Page: 02, Side: b, Line: 08, Word: 9",P01 C,,,,,this,,,,ההן,)hn,preposition independent (h)aphel,this,0.2283393191128042,02,,08
"""pTwr","Masekhet: 5330012, Page: 02, Side: b, Line: 09, Word: 0",No data,,,,,,,,,פטור,None,No data,,23.98480797695953,02,,09
dtnynN,"Masekhet: 5330012, Page: 02, Side: b, Line: 09, Word: 1",No data,,,,,,,,,דתנינן,None,No data,,23.98480797695953,02,,09
hk),"Masekhet: 5330012, Page: 02, Side: b, Line: 09, Word: 2",No data,,,,,,,,,הכא,None,No data,,23.98480797695953,02,,09
"mwtr""","Masekhet: 5330012, Page: 02, Side: b, Line: 09, Word: 3",No data,,,,,,,,,מותר,None,No data,,23.98480797695953,02,,09
r',"Masekhet: 5330012, Page: 02, Side: b, Line: 18, Word: 0",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher,4.462369909696963,02,,18
xzqyh,"Masekhet: 5330012, Page: 02, Side: b, Line: 18, Word: 1",PN Personal name,,,,,,,,,חזקיה,xzqyh,proper name Personal name,,0.051634519397367795,02,,18
b$M,"Masekhet: 5330012, Page: 02, Side: b, Line: 18, Word: 2",noun sg. abs. or construct,p02,,,,name,"in, with",,,בשם,b_,noun sg. abs. or construct | preposition with pronominal suffix,"name | in, with",0.9512225906759533,02,,18
r',"Masekhet: 5330012, Page: 02, Side: b, Line: 18, Word: 3",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher,4.462369909696963,02,,18
)x),"Masekhet: 5330012, Page: 02, Side: b, Line: 18, Word: 4",PN Personal name,,,,,,,,,אחא,)x),proper name Personal name,,0.14113435301947194,02,,18
$m(,"Masekhet: 5330012, Page: 02, Side: b, Line: 18, Word: 5",verb G,,,,,to hear (w. d.o. or,) something,to listen,,שמע,$m(,verb peal,to hear (w. d.o. or | ) something | to listen,0.4142235889433282,02,,18
kwlhN,"Masekhet: 5330012, Page: 02, Side: b, Line: 18, Word: 6",noun sg. emphatic,,,,,"all, every",,,,כולהן,kl,noun sg. emphatic,"all, every",0.4348773967022754,02,,18
mN,"Masekhet: 5330012, Page: 02, Side: b, Line: 18, Word: 7",p01,,,,,from,,,,מן,mn,preposition independent,from,1.6362405480143658,02,,18
hdyN,"Masekhet: 5330012, Page: 02, Side: b, Line: 18, Word: 8",R,,,,,this (m.),,,,הדין,hdyn hdyn P01 C,R,this (m.),0.09867930373719178,02,,18
qryy),"Masekhet: 5330012, Page: 02, Side: b, Line: 18, Word: 9",noun sg. emphatic,,,,,biblical verse,,,,קרייא,qrh,noun sg. emphatic,biblical verse,0.09638443620841987,02,,18
wq$yyN,"Masekhet: 5330012, Page: 02, Side: b, Line: 23, Word: 0",A03 C,c,,,,hard,"and, also",,,וקשיין,w_,adjective plural absolute (h)aphel | conjunction,"hard | and, also",5.046413695769412,02,,23
rbnyN,"Masekhet: 5330012, Page: 02, Side: b, Line: 32, Word: 0",noun pl. emphatic,,,,,chief; teacher,,,,רבנין,rb,noun pl. emphatic,chief; teacher,1.192183681197003,02,,32
dqysryN,"Masekhet: 5330012, Page: 02, Side: b, Line: 32, Word: 1",p,GN Geographic name,,,,,,,,דקיסרין,qysryN,preposition | geographical name Geographic name,,0.05048708563298184,02,,32
)mryN,"Masekhet: 5330012, Page: 02, Side: b, Line: 32, Word: 2",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמרין,)mr,verb peal,to say | to command | to think | idiomatic and special usages:,4.212229349060825,02,,32
(d,"Masekhet: 5330012, Page: 02, Side: b, Line: 32, Word: 3",c,,,,,until,,,,עד,(d,conjunction,until,0.16752532960034883,02,,32
d)t,"Masekhet: 5330012, Page: 02, Side: b, Line: 32, Word: 4",R,c,,,,you (m.),,,,דאת,d_ d_ c,R | conjunction,you (m.),1.2495553694163004,02,,32
mdmy,"Masekhet: 5330012, Page: 02, Side: b, Line: 32, Word: 5",verb D,,,,,to compare x to y (w. double accus.),to make something like,"to draw a conclusion, imagine, envision",,מדמי,dmy,verb pael,"to compare x to y (w. double accus.) | to make something like | to draw a conclusion, imagine, envision",0.07458319468508681,02,,32
lh,"Masekhet: 5330012, Page: 02, Side: b, Line: 32, Word: 6",p02 C,,,,,,,,,לה,l_,preposition with pronominal suffix (h)aphel,,5.087721311287306,02,,32
"""lxlbyM""","Masekhet: 5330012, Page: 02, Side: b, Line: 32, Word: 7",No data,,,,,,,,,לחלבים,None,No data,,23.98480797695953,02,,32
dmynh,"Masekhet: 5330012, Page: 02, Side: b, Line: 32, Word: 8",verb D,,,,,to compare x to y (w. double accus.),to make something like,"to draw a conclusion, imagine, envision",,דמינה,dmy,verb pael,"to compare x to y (w. double accus.) | to make something like | to draw a conclusion, imagine, envision",0.07458319468508681,02,,32
"""l$bt""","Masekhet: 5330012, Page: 02, Side: b, Line: 32, Word: 9",No data,,,,,,,,,לשבת,None,No data,,23.98480797695953,02,,32
r',"Masekhet: 5330012, Page: 02, Side: c, Line: 01, Word: 0",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher,4.462369909696963,02,,01
ywsy,"Masekhet: 5330012, Page: 02, Side: c, Line: 01, Word: 1",PN Personal name,,,,,,,,,יוסי,ywsy,proper name Personal name,,0.37406340718981995,02,,01
