text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings,word_percentage_yersushalmi,Page,Side,Line
mnN,"Masekhet: 5330034, Page: 18, Side: a, Line: 20, Word: 0",p02 C,,,,,from,,,,מנן,mn,preposition with pronominal suffix (h)aphel,from,1.6362405480143658,18,,20
tyty,"Masekhet: 5330034, Page: 18, Side: a, Line: 20, Word: 1",verb G,,,,,to come,to occur; w.,: to befall,to be fitting,תיתי,)ty,verb peal,to come | to occur; w. | : to befall | to be fitting,0.7561588507303416,18,,20
lyh,"Masekhet: 5330034, Page: 18, Side: a, Line: 20, Word: 2",p02 C,,,,,,,,,ליה,l_,preposition with pronominal suffix (h)aphel,,5.087721311287306,18,,20
)$kx,"Masekhet: 5330034, Page: 18, Side: a, Line: 32, Word: 0",verb G,,,,,to find,"w. infinitive : to be able to, capable of",impersonal,"‏ : it may well be, it is possible",אשכח,$kx,verb peal,"to find | w. infinitive : to be able to, capable of | impersonal | ‏ : it may well be, it is possible",0.1732624984222786,18,,32
tny,"Masekhet: 5330034, Page: 18, Side: a, Line: 32, Word: 1",verb G,,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,תני,tny,verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]",0.5679797133710456,18,,32
r',"Masekhet: 5330034, Page: 18, Side: a, Line: 32, Word: 2",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher,4.462369909696963,18,,32
$m(wN,"Masekhet: 5330034, Page: 18, Side: a, Line: 32, Word: 3",PN Personal name,,,,,,,,,שמעון,$m(wN,proper name Personal name,,0.29948021250473317,18,,32
"""bN""","Masekhet: 5330034, Page: 18, Side: a, Line: 32, Word: 4",No data,,,,,,,,,בן,None,No data,,23.98480797695953,18,,32
ywxy,"Masekhet: 5330034, Page: 18, Side: a, Line: 32, Word: 5",PN Personal name,,,,,,,,,יוחי,ywxy,proper name Personal name,,0.020653807758947117,18,,32
"""w)lh","Masekhet: 5330034, Page: 18, Side: a, Line: 32, Word: 6",No data,,,,,,,,,ואלה,None,No data,,23.98480797695953,18,,32
"hm$pTyM""","Masekhet: 5330034, Page: 18, Side: a, Line: 32, Word: 7",No data,,,,,,,,,המשפטים,None,No data,,23.98480797695953,18,,32
""")$r","Masekhet: 5330034, Page: 18, Side: a, Line: 33, Word: 0",No data,,,,,,,,,אשר,None,No data,,23.98480797695953,18,,33
t$yM,"Masekhet: 5330034, Page: 18, Side: a, Line: 33, Word: 1",No data,,,,,,,,,תשים,None,No data,,23.98480797695953,18,,33
"lpnyhM""","Masekhet: 5330034, Page: 18, Side: a, Line: 33, Word: 2",No data,,,,,,,,,לפניהם,None,No data,,23.98480797695953,18,,33
)t),"Masekhet: 5330034, Page: 18, Side: a, Line: 33, Word: 3",verb G,,,,,to come,to occur; w.,: to befall,to be fitting,אתא,)ty,verb peal,to come | to occur; w. | : to befall | to be fitting,0.7561588507303416,18,,33
