text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings,word_percentage_yersushalmi,Page,Side,Line
)l),"Masekhet: 5330025, Page: 16, Side: b, Line: 48, Word: 0",c,,,,,but rather,,,,אלא,)l),conjunction,but rather,0.3545570331952588,16,,48
)ty),"Masekhet: 5330025, Page: 16, Side: b, Line: 48, Word: 1",verb G,,,,,to come,to occur; w.,: to befall,to be fitting,אתיא,)ty,verb peal,to come | to occur; w. | : to befall | to be fitting,0.7561588507303416,16,,48
dy l),"Masekhet: 5330025, Page: 16, Side: b, Line: 48, Word: 2",p01,,,,,without,,,,די לא,dl),preposition independent,without,0.07343576092070085,16,,48
(l,"Masekhet: 5330025, Page: 16, Side: b, Line: 48, Word: 3",p01 C,,,,,upon; against; to,,,,על,(l,preposition independent (h)aphel,upon; against; to,0.9638443620841988,16,,48
dmtnytyN,"Masekhet: 5330025, Page: 16, Side: b, Line: 48, Word: 4",p,noun sg. emphatic,,,,tannaitic tradition,,,,דמתניתין,mtny,preposition | noun sg. emphatic,tannaitic tradition,0.3614416357815745,16,,48
)pylw,"Masekhet: 5330025, Page: 16, Side: b, Line: 49, Word: 0",c,,,,,"even if , even",,,,אפילו,)pylw,conjunction,"even if , even",0.08261523103578847,16,,49
khdyN,"Masekhet: 5330025, Page: 16, Side: b, Line: 49, Word: 1",R,p02,,,,this (m.),like,,,כהדין,k_,R | preposition with pronominal suffix,this (m.) | like,0.41881332400087207,16,,49
tnyy),"Masekhet: 5330025, Page: 16, Side: b, Line: 49, Word: 2",N,,,,,tanna,,,,תנייא,tnyy#2 tnyy#2 noun sg. emphatic,noun,tanna,0.08032036350701656,16,,49
)tyy),"Masekhet: 5330025, Page: 16, Side: b, Line: 49, Word: 3",verb G,,,,,to come,to occur; w.,: to befall,to be fitting,אתייא,)ty,verb peal,to come | to occur; w. | : to befall | to be fitting,0.7561588507303416,16,,49
hy),"Masekhet: 5330025, Page: 16, Side: b, Line: 49, Word: 4",P01 C,,,,,she,,,,היא,hy),preposition independent (h)aphel,she,0.36717880460350427,16,,49
)w,"Masekhet: 5330025, Page: 16, Side: b, Line: 56, Word: 0",c,,,,,or,,,,או,)w,conjunction,or,0.12048054526052485,16,,56
yyb),"Masekhet: 5330025, Page: 16, Side: b, Line: 56, Word: 1",V,,,,,it (f.) is,,,,ייבא,yybh yybh I01 C,V,it (f.) is,0.03212814540280662,16,,56
kyy,"Masekhet: 5330025, Page: 16, Side: b, Line: 56, Word: 2",P01 C,p02,,,,that one (f.),like,,,כיי,k_,preposition independent (h)aphel | preposition with pronominal suffix,that one (f.) | like,0.41881332400087207,16,,56
dmr,"Masekhet: 5330025, Page: 16, Side: b, Line: 56, Word: 3",verb G,c,,,,to say,to command,to think,idiomatic and special usages:,דמר,d_ d_ c,verb peal | conjunction,to say | to command | to think | idiomatic and special usages:,1.2495553694163004,16,,56
r',"Masekhet: 5330025, Page: 16, Side: b, Line: 56, Word: 4",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher,4.462369909696963,16,,56
b),"Masekhet: 5330025, Page: 16, Side: b, Line: 56, Word: 5",PN Personal name,,,,,,,,,בא,b),proper name Personal name,,0.16752532960034883,16,,56
yyb),"Masekhet: 5330025, Page: 16, Side: c, Line: 02, Word: 0",V,,,,,it (f.) is,,,,ייבא,yybh yybh I01 C,V,it (f.) is,0.03212814540280662,16,,02
khd),"Masekhet: 5330025, Page: 16, Side: c, Line: 02, Word: 1",P01 C,p02,,,,this (f.),like,,,כהדא,k_,preposition independent (h)aphel | preposition with pronominal suffix,this (f.) | like,0.41881332400087207,16,,02
yyb),"Masekhet: 5330025, Page: 16, Side: c, Line: 05, Word: 0",V,,,,,it (f.) is,,,,ייבא,yybh yybh I01 C,V,it (f.) is,0.03212814540280662,16,,05
khd),"Masekhet: 5330025, Page: 16, Side: c, Line: 05, Word: 1",P01 C,p02,,,,this (f.),like,,,כהדא,k_,preposition independent (h)aphel | preposition with pronominal suffix,this (f.) | like,0.41881332400087207,16,,05
mh,"Masekhet: 5330025, Page: 16, Side: c, Line: 09, Word: 0",P01 C,,,,,what?,,,,מה,mh,preposition independent (h)aphel,what?,0.6574795469931498,16,,09
d),"Masekhet: 5330025, Page: 16, Side: c, Line: 09, Word: 1",R,,,,,this (f.),,,,דא,dh dh P01 C,R,this (f.),0.10441647255912154,16,,09
p$yTh,"Masekhet: 5330025, Page: 16, Side: c, Line: 09, Word: 2",verb G,,,,,"to extend, straighten",to stretch out (a body part),"to explain clearly, solve",(intrans.) to expand in extent,פשיטה,p$T,verb peal,"to extend, straighten | to stretch out (a body part) | to explain clearly, solve | (intrans.) to expand in extent",0.043602483046666134,16,,09
""")m'","Masekhet: 5330025, Page: 16, Side: c, Line: 17, Word: 0",No data,,,,,,,,,אמ',None,No data,,23.98480797695953,16,,17
r',"Masekhet: 5330025, Page: 16, Side: c, Line: 17, Word: 1",No data,,,,,,,,,ר',None,No data,,23.98480797695953,16,,17
ywsy,"Masekhet: 5330025, Page: 16, Side: c, Line: 17, Word: 2",No data,,,,,,,,,יוסי,None,No data,,23.98480797695953,16,,17
lr',"Masekhet: 5330025, Page: 16, Side: c, Line: 17, Word: 3",No data,,,,,,,,,לר',None,No data,,23.98480797695953,16,,17
"xgyy""","Masekhet: 5330025, Page: 16, Side: c, Line: 17, Word: 4",No data,,,,,,,,,חגיי,None,No data,,23.98480797695953,16,,17
wh),"Masekhet: 5330025, Page: 16, Side: c, Line: 17, Word: 5",I01 C,c,,,,here! look!,"and, also",,,והא,w_,I01 (h)aphel | conjunction,"here! look! | and, also",5.046413695769412,16,,17
