text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings,word_percentage_yersushalmi,Page,Side,Line
r',"Masekhet: 5330017, Page: 51, Side: c, Line: 48, Word: 0",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher,4.462369909696963,51,,48
ywsy,"Masekhet: 5330017, Page: 51, Side: c, Line: 48, Word: 1",PN Personal name,,,,,,,,,יוסי,ywsy,proper name Personal name,,0.37406340718981995,51,,48
)m',"Masekhet: 5330017, Page: 51, Side: c, Line: 48, Word: 2",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמ',)mr,verb peal,to say | to command | to think | idiomatic and special usages:,4.212229349060825,51,,48
lh,"Masekhet: 5330017, Page: 51, Side: c, Line: 48, Word: 3",p02 C,,,,,,,,,לה,l_,preposition with pronominal suffix (h)aphel,,5.087721311287306,51,,48
stM,"Masekhet: 5330017, Page: 51, Side: c, Line: 48, Word: 4",noun sg. abs. or construct,,,,,unspecified,,,,סתם,stm,noun sg. abs. or construct,unspecified,0.02983327787403472,51,,48
r',"Masekhet: 5330017, Page: 51, Side: c, Line: 49, Word: 0",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher,4.462369909696963,51,,49
)x),"Masekhet: 5330017, Page: 51, Side: c, Line: 49, Word: 1",PN Personal name,,,,,,,,,אחא,)x),proper name Personal name,,0.14113435301947194,51,,49
b$M,"Masekhet: 5330017, Page: 51, Side: c, Line: 49, Word: 2",noun sg. abs. or construct,p02,,,,name,"in, with",,,בשם,b_,noun sg. abs. or construct | preposition with pronominal suffix,"name | in, with",0.9512225906759533,51,,49
rb,"Masekhet: 5330017, Page: 51, Side: c, Line: 49, Word: 3",PN Personal name,,,,,,,,,רב,rb,proper name Personal name,,1.192183681197003,51,,49
{w}rbnyN#14#,"Masekhet: 5330017, Page: 51, Side: c, Line: 49, Word: 4",noun pl. emphatic,,,,,chief; teacher,,,,רבנין,rb,noun pl. emphatic,chief; teacher,1.192183681197003,51,,49
ylpyN,"Masekhet: 5330017, Page: 51, Side: c, Line: 49, Word: 5",V,,,,,,,,,ילפין,ylp ylp verb G,V,,0.139986919255086,51,,49
lh,"Masekhet: 5330017, Page: 51, Side: c, Line: 49, Word: 6",p02 C,,,,,,,,,לה,l_,preposition with pronominal suffix (h)aphel,,5.087721311287306,51,,49
"""mptxw","Masekhet: 5330017, Page: 51, Side: c, Line: 49, Word: 7",No data,,,,,,,,,מפתחו,None,No data,,23.98480797695953,51,,49
$l,"Masekhet: 5330017, Page: 51, Side: c, Line: 50, Word: 0",No data,,,,,,,,,של,None,No data,,23.98480797695953,51,,50
"hykl""","Masekhet: 5330017, Page: 51, Side: c, Line: 50, Word: 1",No data,,,,,,,,,היכל,None,No data,,23.98480797695953,51,,50
wr',"Masekhet: 5330017, Page: 51, Side: c, Line: 50, Word: 2",N,c,,,,chief; teacher,"and, also",,,ור',w_,noun | conjunction,"chief; teacher | and, also",5.046413695769412,51,,50
ywdh,"Masekhet: 5330017, Page: 51, Side: c, Line: 50, Word: 3",PN Personal name,,,,,,,,,יודה,ywdh,proper name Personal name,,0.11015364138105127,51,,50
ylyP,"Masekhet: 5330017, Page: 51, Side: c, Line: 50, Word: 4",V,,,,,,,,,יליף,ylp ylp verb G,V,,0.139986919255086,51,,50
lh,"Masekhet: 5330017, Page: 51, Side: c, Line: 50, Word: 5",p02 C,,,,,,,,,לה,l_,preposition with pronominal suffix (h)aphel,,5.087721311287306,51,,50
"""mptxw","Masekhet: 5330017, Page: 51, Side: c, Line: 50, Word: 6",No data,,,,,,,,,מפתחו,None,No data,,23.98480797695953,51,,50
$l,"Masekhet: 5330017, Page: 51, Side: c, Line: 50, Word: 7",No data,,,,,,,,,של,None,No data,,23.98480797695953,51,,50
")wlM""","Masekhet: 5330017, Page: 51, Side: c, Line: 50, Word: 8",No data,,,,,,,,,אולם,None,No data,,23.98480797695953,51,,50
r',"Masekhet: 5330017, Page: 51, Side: c, Line: 54, Word: 0",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher,4.462369909696963,51,,54
ywdh,"Masekhet: 5330017, Page: 51, Side: c, Line: 54, Word: 1",PN Personal name,,,,,,,,,יודה,ywdh,proper name Personal name,,0.11015364138105127,51,,54
kd(tyh,"Masekhet: 5330017, Page: 51, Side: c, Line: 54, Word: 2",noun sg. emphatic,p02,,,,knowledge,like,,,כדעתיה,k_,noun sg. emphatic | preposition with pronominal suffix,knowledge | like,0.41881332400087207,51,,54
wrbnN,"Masekhet: 5330017, Page: 51, Side: c, Line: 54, Word: 3",noun pl. emphatic,c,,,,chief; teacher,"and, also",,,ורבנן,w_,noun pl. emphatic | conjunction,"chief; teacher | and, also",5.046413695769412,51,,54
kd(thwN,"Masekhet: 5330017, Page: 51, Side: c, Line: 54, Word: 4",noun sg. emphatic,p02,,,,knowledge,like,,,כדעתהון,k_,noun sg. emphatic | preposition with pronominal suffix,knowledge | like,0.41881332400087207,51,,54
hyK mh,"Masekhet: 5330017, Page: 51, Side: c, Line: 55, Word: 0",c,,,,,"as, just as",,,,היך מה,hykmh,conjunction,"as, just as",0.010326903879473558,51,,55
d)t,"Masekhet: 5330017, Page: 51, Side: c, Line: 55, Word: 1",R,c,,,,you (m.),,,,דאת,d_ d_ c,R | conjunction,you (m.),1.2495553694163004,51,,55
)mr,"Masekhet: 5330017, Page: 51, Side: c, Line: 55, Word: 2",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמר,)mr,verb peal,to say | to command | to think | idiomatic and special usages:,4.212229349060825,51,,55
tmN,"Masekhet: 5330017, Page: 51, Side: c, Line: 55, Word: 3",X,,,,,there,,,,תמן,tmn tmn a01 C,X,there,0.33275579167192576,51,,55
""")t","Masekhet: 5330017, Page: 51, Side: c, Line: 56, Word: 0",No data,,,,,,,,,את,None,No data,,23.98480797695953,51,,56
rw)h,"Masekhet: 5330017, Page: 51, Side: c, Line: 56, Word: 1",No data,,,,,,,,,רואה,None,No data,,23.98480797695953,51,,56
)t,"Masekhet: 5330017, Page: 51, Side: c, Line: 56, Word: 2",No data,,,,,,,,,את,None,No data,,23.98480797695953,51,,56
htqrh,"Masekhet: 5330017, Page: 51, Side: c, Line: 56, Word: 3",No data,,,,,,,,,התקרה,None,No data,,23.98480797695953,51,,56
