text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
wlmh,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",c,c,,,,why?,"and, also",,,ולמה,w_,conjunction | conjunction,"why? | and, also"
)ylny),"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",noun pl. emphatic,,,,,tree,,,,אילניא,)yln,noun pl. emphatic,tree
$nh,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",noun sg. abs. or construct,,,,,year,,,,שנה,$nh,noun sg. abs. or construct,year
$nh,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",noun sg. abs. or construct,,,,,year,,,,שנה,$nh,noun sg. abs. or construct,year
kl,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",noun sg. abs. or construct,,,,,"all, every",,,,כל,kl,noun sg. abs. or construct,"all, every"
whd),"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",P01,c,,,,this (f.),"and, also",,,והדא,w_,preposition independent | conjunction,"this (f.) | and, also"
t)ynth,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",N,,,,,fig,,,,תאינתה,tynh,noun,fig
pr),"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",a01C,,,,,"less, almost",,,,פרא,prh,a01C,"less, almost"
(lwy,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",p02C,,,,,upon; against; to,,,,עלוי,(l,p02C,upon; against; to
wl),"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",a01C,c,,,,"no, not","and, also",,,ולא,w_,a01C | conjunction,"no, not | and, also"
smkyN,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",verb G,,,,,"to prop up, to support","to lean on, recline on (often in the context of eating)","to rely on, to be sure","to touch, be adjacent to",סמכין,smk,verb peal,"to prop up, to support | to lean on, recline on (often in the context of eating) | to rely on, to be sure | to touch, be adjacent to"
