text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings,word_percentage_yersushalmi,Page,Side,Line
tnynN,"Masekhet: 5330036, Page: 32, Side: c, Line: 64, Word: 0",verb G,,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,תנינן,tny,verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]",0.5679797133710456,32,,64
tr{t}yN,"Masekhet: 5330036, Page: 32, Side: c, Line: 64, Word: 1",b,,,,,two,,,,תרין,tryyn tryyn n01 C,b,two,0.24325595804982159,32,,64
kllyN,"Masekhet: 5330036, Page: 32, Side: c, Line: 64, Word: 2",noun pl. absolute,,,,,general rule,,,,כללין,kll,noun pl. absolute,general rule,0.024096109052104967,32,,64
wl),"Masekhet: 5330036, Page: 32, Side: c, Line: 64, Word: 3",a01 C,c,,,,"no, not","and, also",,,ולא,w_,a01 (h)aphel | conjunction,"no, not | and, also",5.046413695769412,32,,64
dmyyN,"Masekhet: 5330036, Page: 32, Side: c, Line: 64, Word: 4",verb G,,,,,to be like,ptcp. :,,,דמיין,dmy,verb peal,to be like | ptcp. :,0.07458319468508681,32,,64
dyN,"Masekhet: 5330036, Page: 32, Side: c, Line: 64, Word: 5",R,,,,,this one,,,,דין,dn dn P01,R,this one,0.05392938692613968,32,,64
ldyN,"Masekhet: 5330036, Page: 32, Side: c, Line: 64, Word: 6",R,p03,,,,this one,,,,לדין,l_,R | preposition proclitic,this one,5.087721311287306,32,,64
r',"Masekhet: 5330036, Page: 32, Side: d, Line: 01, Word: 0",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher,4.462369909696963,32,,01
l(zr,"Masekhet: 5330036, Page: 32, Side: d, Line: 01, Word: 1",PN Personal name,,,,,,,,,לעזר,l(zr,proper name Personal name,,0.12277541278929674,32,,01
b$M,"Masekhet: 5330036, Page: 32, Side: d, Line: 01, Word: 2",noun sg. abs. or construct,p02,,,,name,"in, with",,,בשם,b_,noun sg. abs. or construct | preposition with pronominal suffix,"name | in, with",0.9512225906759533,32,,01
r',"Masekhet: 5330036, Page: 32, Side: d, Line: 01, Word: 3",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher,4.462369909696963,32,,01
)byN,"Masekhet: 5330036, Page: 32, Side: d, Line: 01, Word: 4",PN Personal name,,,,,,,,,אבין,)byN,proper name Personal name,,0.01491663893701736,32,,01
ptr,"Masekhet: 5330036, Page: 32, Side: d, Line: 01, Word: 5",verb G,,,,,"to interpret,explain",,,,פתר,ptr,verb peal,"to interpret,explain",0.14228178678385792,32,,01
lh,"Masekhet: 5330036, Page: 32, Side: d, Line: 02, Word: 0",p02 C,,,,,,,,,לה,l_,preposition with pronominal suffix (h)aphel,,5.087721311287306,32,,02
ptr,"Masekhet: 5330036, Page: 32, Side: d, Line: 02, Word: 1",verb G,,,,,"to interpret,explain",,,,פתר,ptr,verb peal,"to interpret,explain",0.14228178678385792,32,,02
