text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings,word_percentage_yersushalmi,Page,Side,Line
(l,"Masekhet: 5330020, Page: 63, Side: c, Line: 45, Word: 0",p01 C,,,,,upon; against; to,,,,על,(l,preposition independent (h)aphel,upon; against; to,0.9638443620841988,63,,45
d(tyh,"Masekhet: 5330020, Page: 63, Side: c, Line: 45, Word: 1",noun sg. emphatic,,,,,knowledge,,,,דעתיה,dy(h,noun sg. emphatic,knowledge,0.1262177140824546,63,,45
dhdyN,"Masekhet: 5330020, Page: 63, Side: c, Line: 45, Word: 2",p,R,,,,this (m.),,,,דהדין,hdyn hdyn P01,preposition | R,this (m.),0.04474991681105208,63,,45
b{t}ryy),"Masekhet: 5330020, Page: 63, Side: c, Line: 45, Word: 3",A02,,,,,"healthy, firm",,,,ברייא,bry,adjective singular determined,"healthy, firm",0.017211506465789263,63,,45
hy),"Masekhet: 5330020, Page: 63, Side: c, Line: 45, Word: 4",P01 C,,,,,she,,,,היא,hy),preposition independent (h)aphel,she,0.36717880460350427,63,,45
d(tyh,"Masekhet: 5330020, Page: 63, Side: c, Line: 45, Word: 5",noun sg. emphatic,,,,,knowledge,,,,דעתיה,dy(h,noun sg. emphatic,knowledge,0.1262177140824546,63,,45
dr',"Masekhet: 5330020, Page: 63, Side: c, Line: 46, Word: 0",p,N,,,,chief; teacher,,,,דר',rby#2 rby#2 noun sg. abs. or construct,preposition | noun,chief; teacher,4.462369909696963,63,,46
ly(zr,"Masekhet: 5330020, Page: 63, Side: c, Line: 46, Word: 1",PN Personal name,,,,,,,,,ליעזר,ly(zr,proper name Personal name,,0.03327557916719257,63,,46
qdmyyt),"Masekhet: 5330020, Page: 63, Side: c, Line: 46, Word: 2",A02 C,,,,,first,,,,קדמייתא,qdmy,adjective singular determined (h)aphel,first,0.10441647255912154,63,,46
hy),"Masekhet: 5330020, Page: 63, Side: c, Line: 46, Word: 3",P01 C,,,,,she,,,,היא,hy),preposition independent (h)aphel,she,0.36717880460350427,63,,46
d(tyh,"Masekhet: 5330020, Page: 63, Side: c, Line: 46, Word: 4",noun sg. emphatic,,,,,knowledge,,,,דעתיה,dy(h,noun sg. emphatic,knowledge,0.1262177140824546,63,,46
)xryyt),"Masekhet: 5330020, Page: 63, Side: c, Line: 46, Word: 5",P01 C,,,,,other (f.),,,,אחרייתא,)wxry,preposition independent (h)aphel,other (f.),0.043602483046666134,63,,46
"""wyzkyr","Masekhet: 5330020, Page: 63, Side: c, Line: 48, Word: 0",No data,,,,,,,,,ויזכיר,None,No data,,23.98480797695953,63,,48
"mb(rb""","Masekhet: 5330020, Page: 63, Side: c, Line: 48, Word: 1",No data,,,,,,,,,מבערב,None,No data,,23.98480797695953,63,,48
lyt,"Masekhet: 5330020, Page: 63, Side: c, Line: 48, Word: 2",verb G,,,,,,,,,לית,lyt,verb peal,,0.5083131576229762,63,,48
kl,"Masekhet: 5330020, Page: 63, Side: c, Line: 48, Word: 3",noun sg. abs. or construct,,,,,"all, every",,,,כל,kl,noun sg. abs. or construct,"all, every",0.4348773967022754,63,,48
(m),"Masekhet: 5330020, Page: 63, Side: c, Line: 48, Word: 4",noun sg. emphatic,,,,,people,,,,עמא,(m,noun sg. emphatic,people,0.23751878922789182,63,,48
tmN,"Masekhet: 5330020, Page: 63, Side: c, Line: 48, Word: 5",X,,,,,there,,,,תמן,tmn tmn a01 C,X,there,0.33275579167192576,63,,48
"""wyzkyr","Masekhet: 5330020, Page: 63, Side: c, Line: 48, Word: 6",No data,,,,,,,,,ויזכיר,None,No data,,23.98480797695953,63,,48
"b$xryt""","Masekhet: 5330020, Page: 63, Side: c, Line: 48, Word: 7",No data,,,,,,,,,בשחרית,None,No data,,23.98480797695953,63,,48
""")P","Masekhet: 5330020, Page: 63, Side: c, Line: 49, Word: 0",No data,,,,,,,,,אף,None,No data,,23.98480797695953,63,,49
hw),"Masekhet: 5330020, Page: 63, Side: c, Line: 49, Word: 1",No data,,,,,,,,,הוא,None,No data,,23.98480797695953,63,,49
sbwr,"Masekhet: 5330020, Page: 63, Side: c, Line: 49, Word: 2",No data,,,,,,,,,סבור,None,No data,,23.98480797695953,63,,49
$m),"Masekhet: 5330020, Page: 63, Side: c, Line: 49, Word: 3",No data,,,,,,,,,שמא,None,No data,,23.98480797695953,63,,49
hzkyrw,"Masekhet: 5330020, Page: 63, Side: c, Line: 49, Word: 4",No data,,,,,,,,,הזכירו,None,No data,,23.98480797695953,63,,49
"mb(rb""","Masekhet: 5330020, Page: 63, Side: c, Line: 49, Word: 5",No data,,,,,,,,,מבערב,None,No data,,23.98480797695953,63,,49
whw),"Masekhet: 5330020, Page: 63, Side: c, Line: 49, Word: 6",P01 C,c,,,,he,"and, also",,,והוא,w_,preposition independent (h)aphel | conjunction,"he | and, also",5.046413695769412,63,,49
