text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings,word_percentage_yersushalmi,Page,Side,Line
r',"Masekhet: 5330024, Page: 02, Side: a, Line: 29, Word: 0",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher,4.462369909696963,02,,29
ywsy,"Masekhet: 5330024, Page: 02, Side: a, Line: 29, Word: 1",PN Personal name,,,,,,,,,יוסי,ywsy,proper name Personal name,,0.37406340718981995,02,,29
ptr,"Masekhet: 5330024, Page: 02, Side: a, Line: 29, Word: 2",verb G,,,,,"to interpret,explain",,,,פתר,ptr,verb peal,"to interpret,explain",0.14228178678385792,02,,29
mtnyth,"Masekhet: 5330024, Page: 02, Side: a, Line: 30, Word: 0",noun sg. emphatic,,,,,tannaitic tradition,,,,מתניתה,mtny,noun sg. emphatic,tannaitic tradition,0.3614416357815745,02,,30
"""mcwt","Masekhet: 5330024, Page: 02, Side: a, Line: 30, Word: 1",No data,,,,,,,,,מצות,None,No data,,23.98480797695953,02,,30
t)kl,"Masekhet: 5330024, Page: 02, Side: a, Line: 30, Word: 2",No data,,,,,,,,,תאכל,None,No data,,23.98480797695953,02,,30
"mcwh""","Masekhet: 5330024, Page: 02, Side: a, Line: 30, Word: 3",No data,,,,,,,,,מצוה,None,No data,,23.98480797695953,02,,30
r',"Masekhet: 5330024, Page: 02, Side: b, Line: 23, Word: 0",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher,4.462369909696963,02,,23
bnymN,"Masekhet: 5330024, Page: 02, Side: b, Line: 23, Word: 1",PN Personal name,,,,,,,,,בנימן,bnymN,proper name Personal name,,0.006884602586315704,02,,23
br,"Masekhet: 5330024, Page: 02, Side: b, Line: 23, Word: 2",noun sg. abs. or construct,,,,,son,,,,בר,br,noun sg. abs. or construct,son,0.7733703571961309,02,,23
gydl,"Masekhet: 5330024, Page: 02, Side: b, Line: 23, Word: 3",PN Personal name,,,,,,,,,גידל,gydl,proper name Personal name,,0.0022948675287719016,02,,23
wr',"Masekhet: 5330024, Page: 02, Side: b, Line: 23, Word: 4",N,c,,,,chief; teacher,"and, also",,,ור',w_,noun | conjunction,"chief; teacher | and, also",5.046413695769412,02,,23
)x),"Masekhet: 5330024, Page: 02, Side: b, Line: 23, Word: 5",PN Personal name,,,,,,,,,אחא,)x),proper name Personal name,,0.14113435301947194,02,,23
hww,"Masekhet: 5330024, Page: 02, Side: b, Line: 23, Word: 6",verb G,,,,,to be,"to endure, to exist","to come to pass, to happen",in idioms:,הוו,hwy,verb peal,"to be | to endure, to exist | to come to pass, to happen | in idioms:",1.5777214260306822,02,,23
ytbyN,"Masekhet: 5330024, Page: 02, Side: b, Line: 23, Word: 7",verb G,,,,,to sit,to dwell,to settle down,to be inhabited,יתבין,ytb,verb peal,to sit | to dwell | to settle down | to be inhabited,0.162935594542805,02,,23
^w)yqpyd,"Masekhet: 5330024, Page: 02, Side: b, Line: 27, Word: 0",verb Gt,c,,,,to fear,to be angry,to be wrinkled,,ואיקפיד,w_,verb ethpeel | conjunction,to fear | to be angry | to be wrinkled,5.046413695769412,02,,27
r',"Masekhet: 5330024, Page: 02, Side: b, Line: 28, Word: 0",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher,4.462369909696963,02,,28
)x),"Masekhet: 5330024, Page: 02, Side: b, Line: 28, Word: 1",PN Personal name,,,,,,,,,אחא,)x),proper name Personal name,,0.14113435301947194,02,,28
lqwblyh,"Masekhet: 5330024, Page: 02, Side: b, Line: 28, Word: 2",p02,,,,,opposite,,,,לקובליה,lwqbl,preposition with pronominal suffix,opposite,0.011474337643859508,02,,28
)m',"Masekhet: 5330024, Page: 02, Side: b, Line: 28, Word: 3",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמ',)mr,verb peal,to say | to command | to think | idiomatic and special usages:,4.212229349060825,02,,28
r',"Masekhet: 5330024, Page: 02, Side: b, Line: 28, Word: 4",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher,4.462369909696963,02,,28
