text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings,word_percentage_yersushalmi,Page,Side,Line
(l,"Masekhet: 5330015, Page: 38, Side: a, Line: 52, Word: 0",p01,,,,,upon; against; to,,,,על,(l,preposition independent,upon; against; to,0.9638443620841988,38,,52
d(t',"Masekhet: 5330015, Page: 38, Side: a, Line: 52, Word: 1",noun sg. emphatic,,,,,knowledge,,,,דעת',dy(h,noun sg. emphatic,knowledge,0.1262177140824546,38,,52
dr',"Masekhet: 5330015, Page: 38, Side: a, Line: 52, Word: 2",p,N,,,,chief; teacher,,,,דר',rby#2 rby#2 noun sg. abs. or construct,preposition | noun,chief; teacher,4.462369909696963,38,,52
ywxnN,"Masekhet: 5330015, Page: 38, Side: a, Line: 52, Word: 3",PN Personal name,,,,,,,,,יוחנן,ywxnN,proper name Personal name,,0.42914022788034556,38,,52
d{w}<l)>,"Masekhet: 5330015, Page: 38, Side: a, Line: 52, Word: 4",c,a01,,,,"no, not",,,,דלא,l),conjunction | a01,"no, not",1.3195488290438433,38,,52
ylyP,"Masekhet: 5330015, Page: 38, Side: a, Line: 52, Word: 5",V,,,,,,,,,יליף,ylp ylp verb G,V,,0.139986919255086,38,,52
lh,"Masekhet: 5330015, Page: 38, Side: a, Line: 52, Word: 6",p01,,,,,,,,,לה,l_,preposition independent,,5.087721311287306,38,,52
mN,"Masekhet: 5330015, Page: 38, Side: a, Line: 52, Word: 7",p01,,,,,from,,,,מן,mn,preposition independent,from,1.6362405480143658,38,,52
hdyN,"Masekhet: 5330015, Page: 38, Side: a, Line: 52, Word: 8",R,,,,,this (m.),,,,הדין,hdyn hdyn P01,R,this (m.),0.04474991681105208,38,,52
qryy),"Masekhet: 5330015, Page: 38, Side: a, Line: 52, Word: 9",noun sg. emphatic,,,,,biblical verse,,,,קרייא,qrh,noun sg. emphatic,biblical verse,0.09638443620841987,38,,52
"^""$m(lh","Masekhet: 5330015, Page: 38, Side: a, Line: 52, Word: 10",No data,,,,,,,,,שמעלה,None,No data,,23.98480797695953,38,,52
"hy)""","Masekhet: 5330015, Page: 38, Side: a, Line: 52, Word: 11",No data,,,,,,,,,היא,None,No data,,23.98480797695953,38,,52
"^""bprh","Masekhet: 5330015, Page: 38, Side: a, Line: 53, Word: 0",No data,,,,,,,,,בפרה,None,No data,,23.98480797695953,38,,53
sylswl,"Masekhet: 5330015, Page: 38, Side: a, Line: 53, Word: 1",No data,,,,,,,,,סילסול,None,No data,,23.98480797695953,38,,53
hy),"Masekhet: 5330015, Page: 38, Side: a, Line: 53, Word: 2",No data,,,,,,,,,היא,None,No data,,23.98480797695953,38,,53
"bprh""","Masekhet: 5330015, Page: 38, Side: a, Line: 53, Word: 3",No data,,,,,,,,,בפרה,None,No data,,23.98480797695953,38,,53
nyx),"Masekhet: 5330015, Page: 38, Side: a, Line: 53, Word: 4",A02,,,,,quiet,,,,ניחא,nyx,adjective singular determined,quiet,0.03327557916719257,38,,53
(l,"Masekhet: 5330015, Page: 38, Side: a, Line: 53, Word: 5",p01,,,,,upon; against; to,,,,על,(l,preposition independent,upon; against; to,0.9638443620841988,38,,53
d(tyh,"Masekhet: 5330015, Page: 38, Side: a, Line: 53, Word: 6",noun sg. emphatic,,,,,knowledge,,,,דעתיה,dy(h,noun sg. emphatic,knowledge,0.1262177140824546,38,,53
dbr qpr),"Masekhet: 5330015, Page: 38, Side: a, Line: 53, Word: 7",PN Personal name,p,,,,,,,,דבר קפרא,d_ d_ p,proper name Personal name | preposition,,0.49454395245034477,38,,53
d{l)}<w>,"Masekhet: 5330015, Page: 38, Side: a, Line: 53, Word: 8",c,a01,,,,"no, not",,,,דו,l),conjunction | a01,"no, not",1.3195488290438433,38,,53
ylyP,"Masekhet: 5330015, Page: 38, Side: a, Line: 53, Word: 9",V,,,,,,,,,יליף,ylp ylp verb G,V,,0.139986919255086,38,,53
lh,"Masekhet: 5330015, Page: 38, Side: a, Line: 53, Word: 10",p01,,,,,,,,,לה,l_,preposition independent,,5.087721311287306,38,,53
mN,"Masekhet: 5330015, Page: 38, Side: a, Line: 53, Word: 11",p03,,,,,from,,,,מן,mn,preposition proclitic,from,1.6362405480143658,38,,53
qryy)^,"Masekhet: 5330015, Page: 38, Side: a, Line: 53, Word: 12",noun sg. emphatic,,,,,biblical verse,,,,קרייא,qrh,noun sg. emphatic,biblical verse,0.09638443620841987,38,,53
"""lmh""","Masekhet: 5330015, Page: 38, Side: a, Line: 53, Word: 13",No data,,,,,,,,,למה,None,No data,,23.98480797695953,38,,53
"""k)N","Masekhet: 5330015, Page: 38, Side: a, Line: 54, Word: 0",No data,,,,,,,,,כאן,None,No data,,23.98480797695953,38,,54
nwg(yN,"Masekhet: 5330015, Page: 38, Side: a, Line: 54, Word: 1",No data,,,,,,,,,נוגעין,None,No data,,23.98480797695953,38,,54
wk)N,"Masekhet: 5330015, Page: 38, Side: a, Line: 54, Word: 2",No data,,,,,,,,,וכאן,None,No data,,23.98480797695953,38,,54
)yN,"Masekhet: 5330015, Page: 38, Side: a, Line: 54, Word: 3",No data,,,,,,,,,אין,None,No data,,23.98480797695953,38,,54
"nwg(yN""","Masekhet: 5330015, Page: 38, Side: a, Line: 54, Word: 4",No data,,,,,,,,,נוגעין,None,No data,,23.98480797695953,38,,54
)P,"Masekhet: 5330015, Page: 38, Side: a, Line: 55, Word: 0",c,,,,,"also, even",,,,אף,)wp )wp c,conjunction,"also, even",0.09408956867964796,38,,55
br qpr),"Masekhet: 5330015, Page: 38, Side: a, Line: 55, Word: 1",PN Personal name,,,,,,,,,בר קפרא,br@qpr),proper name Personal name,,0.01491663893701736,38,,55
)yt,"Masekhet: 5330015, Page: 38, Side: a, Line: 55, Word: 2",verb G,,,,,,,,,אית,)yt,verb peal,,0.349967298137715,38,,55
lyh,"Masekhet: 5330015, Page: 38, Side: a, Line: 55, Word: 3",p02 C,,,,,,,,,ליה,l_,preposition with pronominal suffix (h)aphel,,5.087721311287306,38,,55
"""m$wM","Masekhet: 5330015, Page: 38, Side: a, Line: 56, Word: 0",No data,,,,,,,,,משום,None,No data,,23.98480797695953,38,,56
m(lh,"Masekhet: 5330015, Page: 38, Side: a, Line: 56, Word: 1",No data,,,,,,,,,מעלה,None,No data,,23.98480797695953,38,,56
hw),"Masekhet: 5330015, Page: 38, Side: a, Line: 56, Word: 2",No data,,,,,,,,,הוא,None,No data,,23.98480797695953,38,,56
bprh,"Masekhet: 5330015, Page: 38, Side: a, Line: 56, Word: 3",No data,,,,,,,,,בפרה,None,No data,,23.98480797695953,38,,56
sylswl,"Masekhet: 5330015, Page: 38, Side: a, Line: 56, Word: 4",No data,,,,,,,,,סילסול,None,No data,,23.98480797695953,38,,56
hw),"Masekhet: 5330015, Page: 38, Side: a, Line: 56, Word: 5",No data,,,,,,,,,הוא,None,No data,,23.98480797695953,38,,56
"bprh""","Masekhet: 5330015, Page: 38, Side: a, Line: 56, Word: 6",No data,,,,,,,,,בפרה,None,No data,,23.98480797695953,38,,56
^mN,"Masekhet: 5330015, Page: 38, Side: a, Line: 58, Word: 0",P01 C,,,,,who?,,,,מן,mn,preposition independent (h)aphel,who?,1.6362405480143658,38,,58
mh,"Masekhet: 5330015, Page: 38, Side: a, Line: 58, Word: 1",c,,,,,what,,,,מה,mh,conjunction,what,0.6574795469931498,38,,58
dmr,"Masekhet: 5330015, Page: 38, Side: a, Line: 58, Word: 2",verb G,c,,,,to say,to command,to think,idiomatic and special usages:,דמר,d_ d_ c,verb peal | conjunction,to say | to command | to think | idiomatic and special usages:,1.2495553694163004,38,,58
r',"Masekhet: 5330015, Page: 38, Side: a, Line: 58, Word: 3",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher,4.462369909696963,38,,58
mn),"Masekhet: 5330015, Page: 38, Side: a, Line: 58, Word: 4",PN Personal name,,,,,,,,,מנא,mn),proper name Personal name,,0.15490355819210336,38,,58
wtmyh,"Masekhet: 5330015, Page: 38, Side: a, Line: 58, Word: 5",verb G,c,,,,"to wonder at, be amazed",to stand still in amazement,,,ותמיה,w_,verb peal | conjunction,"to wonder at, be amazed | to stand still in amazement",5.046413695769412,38,,58
)n{y}<)>,"Masekhet: 5330015, Page: 38, Side: a, Line: 58, Word: 6",P01 C,,,,,I,,,,אנא,)nh,preposition independent (h)aphel,I,0.30406994756227695,38,,58
hyK,"Masekhet: 5330015, Page: 38, Side: a, Line: 58, Word: 7",a01 C,,,,,how,,,,היך,hyk,a01 (h)aphel,how,0.09408956867964796,38,,58
r',"Masekhet: 5330015, Page: 38, Side: a, Line: 58, Word: 8",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher,4.462369909696963,38,,58
$m(wN,"Masekhet: 5330015, Page: 38, Side: a, Line: 58, Word: 9",PN Personal name,,,,,,,,,שמעון,$m(wN,proper name Personal name,,0.29948021250473317,38,,58
mtyb,"Masekhet: 5330015, Page: 38, Side: a, Line: 58, Word: 10",verb C,,,,,"to restore, return (trans.)",(w. or without an object) to answer,to vomit,,מתיב,twb,verb (h)aphel,"to restore, return (trans.) | (w. or without an object) to answer | to vomit",0.09982673750157772,38,,58
^qwmy,"Masekhet: 5330015, Page: 38, Side: a, Line: 59, Word: 0",p01 C,,,,,before,,,,קומי,qwmy,preposition independent (h)aphel,before,0.5392938692613969,38,,59
r',"Masekhet: 5330015, Page: 38, Side: a, Line: 59, Word: 1",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher,4.462369909696963,38,,59
ywxnN,"Masekhet: 5330015, Page: 38, Side: a, Line: 59, Word: 2",PN Personal name,,,,,,,,,יוחנן,ywxnN,proper name Personal name,,0.42914022788034556,38,,59
whw),"Masekhet: 5330015, Page: 38, Side: a, Line: 59, Word: 3",P01 C,c,,,,he,"and, also",,,והוא,w_,preposition independent (h)aphel | conjunction,"he | and, also",5.046413695769412,38,,59
mqbl,"Masekhet: 5330015, Page: 38, Side: a, Line: 59, Word: 4",verb D,,,,,"to receive, to accept",idioms:,,,מקבל,qbl,verb pael,"to receive, to accept | idioms:",0.0814677972714025,38,,59
mynyh^,"Masekhet: 5330015, Page: 38, Side: a, Line: 59, Word: 5",p02 C,,,,,from,,,,מיניה,mn,preposition with pronominal suffix (h)aphel,from,1.6362405480143658,38,,59
wytybynyh,"Masekhet: 5330015, Page: 38, Side: a, Line: 59, Word: 6",verb C,c,,,,"to restore, return (trans.)",(w. or without an object) to answer,to vomit,,ויתיביניה,w_,verb (h)aphel | conjunction,"to restore, return (trans.) | (w. or without an object) to answer | to vomit",5.046413695769412,38,,59
"""l)","Masekhet: 5330015, Page: 38, Side: a, Line: 59, Word: 7",No data,,,,,,,,,לא,None,No data,,23.98480797695953,38,,59
"mc)nw""..","Masekhet: 5330015, Page: 38, Side: a, Line: 59, Word: 8",No data,,,,,,,,,מצאנו,None,No data,,23.98480797695953,38,,59
h),"Masekhet: 5330015, Page: 38, Side: b, Line: 03, Word: 0",I01 C,,,,,here! look!,,,,הא,h),I01 (h)aphel,here! look!,0.13539718419754218,38,,03
