text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,text_transformed,merged_lexicon
tn),"Masekhet: 71001, Page: 002, Side: 1, Line: 15, Word: 0",noun sg. emphatic,,,,,תנא,noun sg. emphatic
h^y^k),"Masekhet: 71001, Page: 002, Side: 1, Line: 15, Word: 1",a,,,,,היכא,a
q)y,"Masekhet: 71001, Page: 002, Side: 1, Line: 15, Word: 2",verb G,,,,,קאי,verb G
dqtny,"Masekhet: 71001, Page: 002, Side: 1, Line: 15, Word: 3",c,verb G,,,,דקתני,c | verb G
"""m)ymty""","Masekhet: 71001, Page: 002, Side: 1, Line: 15, Word: 4",No data,,,,,מאימתי,No data
wtw;,"Masekhet: 71001, Page: 002, Side: 1, Line: 16, Word: 0",c,X,,,,ותו;,c | X
m)y,"Masekhet: 71001, Page: 002, Side: 1, Line: 16, Word: 1",P01,,,,,מאי,P01
$n),"Masekhet: 71001, Page: 002, Side: 1, Line: 16, Word: 2",verb G,,,,,שנא,verb G
dtny,"Masekhet: 71001, Page: 002, Side: 1, Line: 16, Word: 3",c,verb G,,,,דתני,c | verb G
"""(rbyt""","Masekhet: 71001, Page: 002, Side: 1, Line: 16, Word: 4",No data,,,,,ערבית,No data
bry$),"Masekhet: 71001, Page: 002, Side: 1, Line: 16, Word: 5",a,,,,,ברישא,a
lytny,"Masekhet: 71001, Page: 002, Side: 1, Line: 17, Word: 0",verb G,,,,,ליתני,verb G
"""$xryt""","Masekhet: 71001, Page: 002, Side: 1, Line: 17, Word: 1",No data,,,,,שחרית,No data
bry$);,"Masekhet: 71001, Page: 002, Side: 1, Line: 17, Word: 2",a,,,,,ברישא;,a
tn),"Masekhet: 71001, Page: 002, Side: 1, Line: 17, Word: 3",noun sg. emphatic,,,,,תנא,noun sg. emphatic
)qr',"Masekhet: 71001, Page: 002, Side: 1, Line: 17, Word: 4",noun sg. emphatic,,,,,אקר',noun sg. emphatic
q)y';,"Masekhet: 71001, Page: 002, Side: 1, Line: 17, Word: 5",verb G,,,,,קאי';,verb G
?w?)yb(yt,"Masekhet: 71001, Page: 002, Side: 1, Line: 20, Word: 0",c,verb G,,,,ואיבעית,c | verb G
