text,merged_lexicon
m)y,preposition independent
T(m);,noun sg. emphatic | conjunction
dx$yb),conjunction | adjective singular absolute or construct
btrh;,preposition with pronominal suffix
wmn),conjunction | adverb
lN,preposition with pronominal suffix
dx$yb),conjunction | adjective singular absolute or construct
btrh;,preposition with pronominal suffix
wky,conjunction | conjunction
m)xr,conjunction
d(yyl),conjunction | verb peal
{{y}}^r^wmy,No data
wl),conjunction | adverb
zkt;,verb peal
)yhy,preposition independent
lmh,conjunction
lh,preposition with pronominal suffix
d(yyl);,conjunction | verb peal
sbwr;,verb peal
