text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,text_transformed,merged_lexicon,word
)ymmh,"Masekhet: 5330001, Page: 02, Side: a, Line: 30, Word: 0",noun sg. emphatic,,,,,איממה,noun sg. emphatic,0
hw),"Masekhet: 5330001, Page: 02, Side: a, Line: 30, Word: 1",P01C,,,,,הוא,P01C,1
{w(M}/w(d#01#/,"Masekhet: 5330001, Page: 02, Side: a, Line: 30, Word: 2",p02C,c,,,,ועד/,p02C | conjunction,2
kwkby),"Masekhet: 5330001, Page: 02, Side: a, Line: 30, Word: 3",noun pl. emphatic,,,,,כוכביא,noun pl. emphatic,3
hw),"Masekhet: 5330001, Page: 02, Side: a, Line: 30, Word: 4",P01C,,,,,הוא,P01C,4
$(h,"Masekhet: 5330001, Page: 02, Side: a, Line: 31, Word: 0",noun sg. abs. or construct,,,,,שעה,noun sg. abs. or construct,0
wtrty,"Masekhet: 5330001, Page: 02, Side: a, Line: 31, Word: 1",b,c,,,,ותרתי,b | conjunction,1
lyly),"Masekhet: 5330001, Page: 02, Side: a, Line: 31, Word: 2",noun sg. emphatic,,,,,ליליא,noun sg. emphatic,2
hw),"Masekhet: 5330001, Page: 02, Side: a, Line: 31, Word: 3",P01C,,,,,הוא,P01C,3
)m',"Masekhet: 5330001, Page: 02, Side: a, Line: 32, Word: 0",verb G,,,,,אמ',verb peal,0
r',"Masekhet: 5330001, Page: 02, Side: a, Line: 32, Word: 1",N,,,,,ר',noun,1
ywsy,"Masekhet: 5330001, Page: 02, Side: a, Line: 32, Word: 2",PN Personal name,,,,,יוסי,proper name Personal name,2
"""typtr""","Masekhet: 5330001, Page: 02, Side: a, Line: 32, Word: 3",No data,,,,,תיפתר,No data,3
b)ylyN,"Masekhet: 5330001, Page: 02, Side: a, Line: 32, Word: 4",R,p02,,,,באילין,R | preposition with pronominal suffix,4
